Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 1	Peptides 2	Razor + unique peptides 1	Razor + unique peptides 2	Unique peptides 1	Unique peptides 2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 11	Fraction 12	Fraction 13	Q-value	Score	Identification type 1	Identification type 2	Sequence coverage 1 [%]	Sequence coverage 2 [%]	Intensity	Intensity 1	Intensity 2	iBAQ	iBAQ 1	iBAQ 2	LFQ intensity 1	LFQ intensity 2	MS/MS count 1	MS/MS count 2	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Tb927.2.5130:mRNA-p1	Tb927.2.5130:mRNA-p1	13	13	13	Tb927.2.5130:mRNA-p1 | transcript=Tb927.2.5130:mRNA | gene=Tb927.2.5130 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_02_v5.1:906606-907778(	1	13	13	13	8	10	8	10	8	10	36.2	36.2	36.2	43.557	390	390	8.5			9			11	0	62.974	By MS/MS	By MS/MS	24.6	27.9	415190000	209380000	205810000	15969000	8053100	7915900	33515000	29080000	9	9	18				1587	2972;3785;4077;11856;12391;13076;16458;19851;23392;28013;28014;29802;30018	True;True;True;True;True;True;True;True;True;True;True;True;True	3194;4061;4361;12664;13231;13987;17587;21485;25213;25214;30195;30196;32127;32357	7445;9305;9306;9898;28466;29790;31478;39679;39680;48545;56821;56822;56823;56824;68333;68334;68335;72697;72698;73212	7098;8886;8887;9456;27528;28773;30389;38230;38231;46825;54705;54706;54707;54708;65955;65956;65957;70170;70171;70669	7098;8886;9456;27528;28773;30389;38231;46825;54706;65955;65957;70171;70669	1691	143
Tb927.2.5160:mRNA-p1	Tb927.2.5160:mRNA-p1	25	25	25	Tb927.2.5160:mRNA-p1 | transcript=Tb927.2.5160:mRNA | gene=Tb927.2.5160 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=chaperone protein DnaJ, putative | transcript_product=chaperone protein DnaJ, putative | location=Tb927_02_v5.1:910854-91205	1	25	25	25	20	25	20	25	20	25	61.5	61.5	61.5	44.327	400	400	8.76			25			34	0	212.52	By MS/MS	By MS/MS	54.8	61.5	2955800000	732680000	2223100000	147790000	36634000	111150000	138630000	285780000	24	35	59				1588	3459;4085;4521;5636;7154;7505;7506;7785;7786;8738;9732;10274;13493;14533;14534;17051;20299;21742;21913;22956;24282;27321;29833;30041;30642	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	3709;4370;4846;6032;6033;7675;8053;8054;8353;8354;9364;10431;10432;10998;14432;15538;15539;18214;21954;23467;23645;24758;24759;26174;29448;32159;32380;33025	8541;9912;9913;9914;10946;13535;13536;13537;13538;17260;17261;18111;18112;18113;18114;18115;18785;18786;18787;18788;18789;18790;21009;23273;23274;23275;23276;24523;24524;24525;32505;32506;35102;35103;35104;41096;41097;49539;49540;52924;52925;53316;53317;55783;55784;55785;55786;55787;55788;55789;58933;58934;66560;66561;72756;72757;73261;73262;74754	8145;9468;9469;9470;10468;12934;12935;12936;12937;16494;16495;17336;17337;17338;17339;17340;18014;18015;18016;18017;18018;18019;20209;22408;22409;22410;22411;23621;23622;23623;31386;31387;33871;33872;33873;39538;39539;47783;47784;50977;50978;51339;51340;53712;53713;53714;53715;53716;53717;53718;56731;56732;64236;64237;70225;70226;70716;70717;72195;72196	8145;9469;10468;12936;16494;17337;17340;18014;18017;20209;22409;23622;31387;33871;33872;39538;47784;50977;51339;53715;56731;64236;70226;70717;72196	1692;1693;1694	172;215;306
Tb927.2.5230:mRNA-p1	Tb927.2.5230:mRNA-p1	2	2	2	Tb927.2.5230:mRNA-p1 | transcript=Tb927.2.5230:mRNA | gene=Tb927.2.5230 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=CAMK family pseudokinase, putative | transcript_product=CAMK family pseudokinase, putative | location=Tb927_02_v5.1:919979-9	1	2	2	2	2	1	2	1	2	1	9.3	9.3	9.3	30.737	279	279	6.33			2			1	0.00039526	3.8035	By MS/MS	By MS/MS	9.3	5.7	18554000	13643000	4911300	1686700	1240200	446480	2291900	0	2	1	3				1589	216;25963	True;True	235;27982	543;63063;63064	496;60794;60795	496;60794		
Tb927.2.5240:mRNA-p1	Tb927.2.5240:mRNA-p1	4	4	4	Tb927.2.5240:mRNA-p1 | transcript=Tb927.2.5240:mRNA | gene=Tb927.2.5240 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=pre-mRNA splicing factor 19 | transcript_product=pre-mRNA splicing factor 19 | location=Tb927_02_v5.1:921221-922750(+) | pro	1	4	4	4	2	4	2	4	2	4	10.2	10.2	10.2	54.268	509	509	9.25			3			5	0	37.983	By MS/MS	By MS/MS	7.1	10.2	53103000	13424000	39679000	1896500	479440	1417100	3270800	5027900	3	5	8				1590	1682;9135;13111;25939	True;True;True;True	1792;9789;14022;27957	4328;21886;21887;31560;63015;63016;63017;63018	4122;21047;21048;30478;60744;60745;60746;60747	4122;21048;30478;60747		
Tb927.2.5270:mRNA-p1	Tb927.2.5270:mRNA-p1	9	8	8	Tb927.2.5270:mRNA-p1 | transcript=Tb927.2.5270:mRNA | gene=Tb927.2.5270 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Tb927_02_v5.1:925431-938171(+) | p	1	9	8	8	7	7	6	6	6	6	2.9	2.7	2.7	485.74	4246	4246	5.69	6	1		6			0	15.693	By MS/MS	By MS/MS	2.4	2	18889000	14178000	4710700	81419	61114	20305	5788600	6256300	6	6	12				1591	1311;14713;15862;16076;17582;19297;22418;24255;29212	True;True;True;True;False;True;True;True;True	1398;15725;16934;17160;18776;20877;24180;26144;31499	3330;3331;35486;35487;35488;38241;38739;38740;42253;42254;47090;54449;54450;58851;71321	3165;3166;34239;34240;36856;37344;37345;40698;40699;45427;52411;52412;56657;68836	3166;34240;36856;37345;40698;45427;52412;56657;68836		
Tb927.2.5610:mRNA-p1;Tb927.2.5530:mRNA-p1	Tb927.2.5610:mRNA-p1;Tb927.2.5530:mRNA-p1	14;14	14;14	14;14	Tb927.2.5610:mRNA-p1 | transcript=Tb927.2.5610:mRNA | gene=Tb927.2.5610 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Present in the outer mitochondrial membrane proteome 22B | transcript_product=Present in the outer mitochondrial membrane pr	2	14	14	14	11	7	11	7	11	7	13.3	13.3	13.3	162.48	1522	1522;1522	4.75	9	7		5	3		0	28.835	By MS/MS	By MS/MS	11.3	7.1	69470000	46009000	23461000	938780	621740	317040	15363000	14413000	13	8	21				1592	6517;12454;15820;19035;19319;23652;24111;24775;25328;26246;26247;27049;29343;29900	True;True;True;True;True;True;True;True;True;True;True;True;True;True	6986;13303;16890;20589;20903;25500;25988;26694;27287;28283;28284;29159;31633;32228	15660;29936;29937;29938;29939;38140;38141;46347;46348;47160;47161;57426;57427;58515;58516;60060;60061;61399;61400;63773;63774;65843;71617;72928	14965;28915;28916;28917;28918;36768;36769;44702;45494;45495;55283;56331;56332;57827;59123;59124;61499;61500;63528;69120;70389	14965;28917;36769;44702;45495;55283;56332;57827;59124;61499;61500;63528;69120;70389		
Tb927.2.560:mRNA-p1;Tb927.6.5180:pseudogenic_transcript-p1	Tb927.2.560:mRNA-p1	19;1	10;1	6;0	Tb927.2.560:mRNA-p1 | transcript=Tb927.2.560:mRNA | gene=Tb927.2.560 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=retrotransposon hot spot protein 4 (RHS4), putative | transcript_product=retrotransposon hot spot protein 4 (RHS4), putative | 	2	19	10	6	16	17	9	9	5	5	18.9	10.5	5.8	95.911	845	845;503	7		14			14		0	35.843	By MS/MS	By MS/MS	18.2	18.1	377620000	246080000	131540000	7706600	5022000	2684500	59830000	37191000	13	13	26				1593	313;1672;3611;4355;4356;5530;5904;9048;10016;11043;12599;13836;14663;15713;21109;27250;29531;29944;30160	True;True;True;True;True;False;False;False;False;False;True;True;False;True;True;True;False;False;False	340;1782;3878;3879;4664;4665;4666;4667;5918;5919;6319;9694;10729;11802;13475;14798;15673;16778;22797;29376;31837;32275;32504	833;834;835;836;4308;4309;8925;8926;8927;10526;10527;10528;10529;10530;10531;10532;10533;10534;10535;13243;13244;13245;13246;13247;14214;21709;21710;23933;23934;23935;23936;23937;26422;26423;26424;26425;26426;30343;30344;33406;35367;35368;37903;37904;37905;51426;66338;66339;72096;72097;72098;73025;73026;73027;73028;73517	793;794;795;796;4106;4107;8509;8510;8511;10067;10068;10069;10070;10071;10072;10073;10074;10075;10076;12641;12642;12643;12644;12645;13580;20879;20880;23050;23051;23052;23053;25502;25503;25504;29304;29305;32252;34126;36549;36550;36551;49555;63998;63999;69577;69578;69579;70482;70483;70484;70485;70486;70972	794;4106;8509;10070;10075;12644;13580;20880;23052;25503;29304;32252;34126;36551;49555;63998;69578;70485;70972	388;1637;1695	78;171;829
Tb927.2.5760:mRNA-p1	Tb927.2.5760:mRNA-p1	5	5	5	Tb927.2.5760:mRNA-p1 | transcript=Tb927.2.5760:mRNA | gene=Tb927.2.5760 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Flagellar Member 8 | transcript_product=Flagellar Member 8 | location=Tb927_02_v5.1:1034074-1043301(+) | protein_length=3075	1	5	5	5	4	3	4	3	4	3	5.7	5.7	5.7	330.07	3075	3075	5.29	4			3			0	11.683	By MS/MS	By MS/MS	3.6	4.9	12621000	8338300	4282900	78392	51791	26602	6158700	3230300	4	3	7				1594	932;1778;10240;16335;19103	True;True;True;True;True	993;1896;10963;17454;20665	2384;4566;4567;24460;24461;39364;46532	2267;4343;4344;23559;23560;37932;44872	2267;4344;23560;37932;44872		
Tb927.2.5800:mRNA-p1	Tb927.2.5800:mRNA-p1	8	8	8	Tb927.2.5800:mRNA-p1 | transcript=Tb927.2.5800:mRNA | gene=Tb927.2.5800 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=sedoheptulose-1,7-bisphosphatase | transcript_product=sedoheptulose-1,7-bisphosphatase | location=Tb927_02_v5.1:1046357-1047	1	8	8	8	7	6	7	6	7	6	41.6	41.6	41.6	35.502	332	332	7.29			8			6	0	57.57	By MS/MS	By MS/MS	36.7	34	489810000	160280000	329530000	30613000	10017000	20596000	26758000	49722000	8	6	14				1595	1139;2758;12198;13295;15861;19417;24318;29434	True;True;True;True;True;True;True;True	1214;2959;13029;14218;16933;21017;26211;26212;31737	2896;6906;29294;29295;31981;31982;38239;38240;47440;59026;59027;59028;71875;71876	2751;6551;28305;28306;30898;30899;36854;36855;45768;56819;56820;56821;69371;69372	2751;6551;28306;30898;36855;45768;56819;69371	1696;1697	297;298
Tb927.2.5810:mRNA-p1	Tb927.2.5810:mRNA-p1	24	24	24	Tb927.2.5810:mRNA-p1 | transcript=Tb927.2.5810:mRNA | gene=Tb927.2.5810 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Holliday-junction resolvase-like of SPT6/SH2 domain containing protein, putative | transcript_product=Holliday-junction reso	1	24	24	24	11	21	11	21	11	21	19.5	19.5	19.5	174.02	1543	1543	8.14	5	9	1	12	16		0	57.763	By MS/MS	By MS/MS	10.3	16.9	127310000	39749000	87560000	1571700	490720	1081000	21887000	29822000	14	22	36				1596	490;2860;3646;4826;4842;5094;5499;7653;7675;12320;13263;14175;15279;16752;17520;17873;18020;23236;24347;24786;26824;27427;27847;28607	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	528;3070;3914;5170;5186;5187;5461;5883;8210;8232;13153;14185;15159;16315;17905;18713;19082;19286;25050;26242;26706;28918;29562;30014;30853	1316;7133;7134;8992;8993;11681;11682;11724;11725;11726;12343;13174;13175;18448;18449;18450;18451;18491;29614;29615;29616;29617;31900;34295;34296;34297;36716;36717;40377;42141;42905;43341;56455;56456;59080;60085;65266;66813;67894;69839;69840;69841;69842	1243;6777;8569;11162;11202;11203;11204;11205;11795;12571;12572;17672;17673;17674;17675;17713;28597;28598;28599;28600;30816;33115;33116;35414;35415;38879;40591;41315;41736;54351;54352;56870;57848;62969;64475;65523;67396;67397;67398	1243;6777;8569;11162;11205;11795;12572;17673;17713;28598;30816;33115;35414;38879;40591;41315;41736;54351;56870;57848;62969;64475;65523;67398	1698;1699	632;840
Tb927.2.5820:mRNA-p1	Tb927.2.5820:mRNA-p1	12	12	12	Tb927.2.5820:mRNA-p1 | transcript=Tb927.2.5820:mRNA | gene=Tb927.2.5820 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_02_v5.1:1053845-105709	1	12	12	12	10	11	10	11	10	11	14.8	14.8	14.8	117.49	1081	1081	7.38		11		1	12		0	65.905	By MS/MS	By MS/MS	11.9	13.9	195990000	62416000	133570000	4260600	1356900	2903700	21020000	34531000	12	11	23				1597	1439;1515;2524;2590;5293;12457;13006;14202;14314;14672;19459;26987	True;True;True;True;True;True;True;True;True;True;True;True	1537;1616;2717;2783;5669;13306;13914;15186;15303;15683;21064;29089	3671;3907;3908;6350;6351;6487;6488;12782;12783;29943;31318;31319;34358;34359;34360;34361;34592;34593;34594;35386;47526;47527;65697;65698	3492;3725;3726;6026;6027;6150;6151;12195;12196;28922;30245;30246;33172;33173;33174;33175;33176;33393;33394;34144;45846;45847;63385;63386	3492;3725;6027;6150;12195;28922;30246;33172;33393;34144;45846;63385	1700	837
Tb927.2.5850:mRNA-p1	Tb927.2.5850:mRNA-p1	2	2	2	Tb927.2.5850:mRNA-p1 | transcript=Tb927.2.5850:mRNA | gene=Tb927.2.5850 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=small nuclear ribonucleoprotein SmD2 | transcript_product=small nuclear ribonucleoprotein SmD2 | location=Tb927_02_v5.1:1058	1	2	2	2	2	2	2	2	2	2	22.5	22.5	22.5	12.518	111	111	8			2			2	0	17.302	By MS/MS	By MS/MS	22.5	22.5	34337000	29431000	4905600	5722800	4905200	817600	4944300	0	2	1	3				1598	8604;26244	True;True	9221;28281	20667;20668;63769;63770	19874;19875;61496;61497	19875;61496		
Tb927.2.5860:mRNA-p1	Tb927.2.5860:mRNA-p1	5	2	2	Tb927.2.5860:mRNA-p1 | transcript=Tb927.2.5860:mRNA | gene=Tb927.2.5860 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_02_v5.1:1059596-106332	1	5	2	2	4	5	1	2	1	2	31.5	11	11	133.74	1242	1242	7.67	1			2			0	5.2071	By MS/MS	By MS/MS	21.3	31.5	48105000	5054400	43051000	601320	63180	538130	0	43051000	1	2	3				1599	2493;3349;5104;12858;22911	True;False;False;False;True	2685;3591;5471;5472;13753;13754;13755;24708	6292;6293;8290;8291;12358;12359;12360;12361;30964;30965;30966;30967;30968;30969;55616	5971;5972;7900;7901;11810;11811;11812;11813;29915;29916;29917;29918;29919;53526	5972;7901;11811;29916;53526	1701;1702;1703;1704	421;474;616;617
Tb927.2.5870:mRNA-p1	Tb927.2.5870:mRNA-p1	15	15	12	Tb927.2.5870:mRNA-p1 | transcript=Tb927.2.5870:mRNA | gene=Tb927.2.5870 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_02_v5.1:1064576-106934	1	15	15	12	14	10	14	10	11	7	36.6	36.6	10.6	170.48	1588	1588	5.27	19			13	1		0	31.497	By MS/MS	By MS/MS	36.2	30.4	379420000	112230000	267190000	3579400	1058700	2520700	69246000	71925000	19	13	32				1600	2573;3349;3378;5104;5105;7828;12858;12860;12861;15903;19620;21304;22507;22920;27450	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	2766;3591;3623;5471;5472;5473;8399;13753;13754;13755;13758;13759;13760;16977;21235;23007;24278;24717;29587	6455;6456;8290;8291;8363;12358;12359;12360;12361;12362;18891;30964;30965;30966;30967;30968;30969;30974;30975;30976;30977;30978;30979;38339;38340;47922;47923;51891;54675;55634;55635;66854;66855	6122;6123;7900;7901;7975;11810;11811;11812;11813;11814;18125;29915;29916;29917;29918;29919;29924;29925;29926;29927;29928;29929;29930;36964;36965;46230;46231;50003;52620;53544;53545;64515;64516	6122;7901;7975;11811;11814;18125;29916;29929;29930;36965;46231;50003;52620;53544;64516	1701;1702;1703;1704;1705;1706;1707	118;156;157;189;228;360;436
Tb927.2.5890:mRNA-p1	Tb927.2.5890:mRNA-p1	1	1	1	Tb927.2.5890:mRNA-p1 | transcript=Tb927.2.5890:mRNA | gene=Tb927.2.5890 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_02_v5.1:1071806-107316	1	1	1	1	0	1	0	1	0	1	3.3	3.3	3.3	51.13	452	452	13						1	0	6.8292		By MS/MS	0	3.3	0	0	0	0	0	0	0	0	0	1	1				1601	5599	True	5995	13453	12852	12852		
Tb927.2.5950:mRNA-p1	Tb927.2.5950:mRNA-p1	2	2	2	Tb927.2.5950:mRNA-p1 | transcript=Tb927.2.5950:mRNA | gene=Tb927.2.5950 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_02_v5.1:1080291-108188	1	2	2	2	2	0	2	0	2	0	4.2	4.2	4.2	60.123	530	530	3			2				0	4.0347	By MS/MS		4.2	0	7690700	7690700	0	256360	256360	0	1292000	0	2	0	2				1602	7973;29403	True;True	8555;31701	19213;71781	18440;69286	18440;69286		
Tb927.2.5980:mRNA-p1	Tb927.2.5980:mRNA-p1	70	70	70	Tb927.2.5980:mRNA-p1 | transcript=Tb927.2.5980:mRNA | gene=Tb927.2.5980 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=chaperone protein ClpB1, putative | transcript_product=chaperone protein ClpB1, putative | location=Tb927_02_v5.1:1084458-10	1	70	70	70	60	66	60	66	60	66	68	68	68	97.037	870	870	7.69	1	74	2	3	98	1	0	323.31	By MS/MS	By MS/MS	61.4	66.1	6440700000	1976100000	4464600000	131440000	40328000	91115000	615430000	1091300000	73	99	172				1603	521;992;993;1112;1178;2706;2776;2861;2862;3888;4539;6204;7007;7953;8795;9556;10622;11178;11714;11749;13145;13343;13344;13562;13737;14106;14258;14631;14632;15463;15464;15680;16015;16290;16932;18903;19198;19439;20046;20047;20105;20106;20257;20550;20863;21612;21736;22722;23274;24481;24649;24771;25027;25427;25533;26631;26670;27165;27417;27418;27877;28650;28651;28886;28887;29035;29138;29683;29775;29851	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	559;1056;1057;1182;1257;2903;2979;2980;3071;3072;4164;4864;6637;7525;8533;8534;9425;10233;11360;11944;12508;12509;12549;12550;12551;14059;14270;14271;14502;14689;15088;15244;15640;15641;16511;16512;16744;17098;17408;18093;20447;20773;21043;21690;21691;21750;21751;21910;22210;22538;22539;23333;23461;24504;24505;24506;25091;26383;26561;26690;26969;27395;27512;28706;28748;29287;29550;29551;29552;29553;30051;30900;30901;31152;31153;31313;31424;32001;32099;32177	1379;1380;1381;1382;2507;2508;2509;2510;2829;2830;2981;2982;2983;6761;6762;6934;6935;6936;6937;6938;7135;7136;7137;7138;7139;9509;9510;10981;14920;14921;16944;19162;19163;19164;21132;21133;22863;25321;25322;25323;26753;28049;28050;28051;28153;28154;28155;28156;28157;28158;28159;28160;31627;31628;31629;32124;32125;32126;32127;32656;32657;33147;33148;33149;34088;34089;34471;34472;34473;34474;35309;35310;35311;35312;35313;37171;37172;37173;37174;37175;37805;38598;38599;39261;39262;39263;39264;40836;40837;46036;46790;46791;46792;47482;47483;48975;48976;48977;48978;49089;49090;49091;49092;49442;49443;49444;49445;50110;50820;50821;50822;52607;52608;52609;52610;52909;52910;55179;55180;55181;55182;55183;55184;55185;55186;56551;59400;59401;59771;59772;59773;60052;60674;61681;61682;61969;61970;61971;61972;64721;64722;64837;64838;64839;66156;66157;66785;66786;66787;66788;66789;66790;66791;66792;66793;66794;66795;67995;69943;69944;69945;69946;69947;70508;70509;70510;70511;70512;70513;70873;70874;71144;71145;72419;72420;72625;72796;72797;72798	1307;1308;1309;1310;2384;2385;2386;2387;2684;2685;2686;2837;2838;2839;6410;6411;6579;6580;6581;6582;6583;6778;6779;6780;6781;6782;9083;9084;10498;14253;14254;14255;16205;18392;18393;18394;20326;20327;21987;24376;24377;24378;25830;27132;27133;27134;27242;27243;27244;27245;27246;27247;27248;27249;30539;30540;31029;31030;31031;31032;31533;31534;31535;31988;31989;31990;32906;32907;33279;33280;33281;33282;34073;34074;34075;34076;34077;35859;35860;35861;35862;35863;36455;37206;37207;37835;37836;39297;39298;44396;45127;45128;45807;45808;47240;47241;47242;47243;47351;47352;47353;47354;47695;47696;47697;47698;48312;48981;48982;48983;50685;50686;50687;50688;50689;50963;50964;53109;53110;53111;53112;53113;53114;53115;54439;57179;57180;57554;57555;57556;57557;57819;58413;59415;59416;59704;59705;59706;59707;62458;62459;62561;62562;63821;63822;63823;64447;64448;64449;64450;64451;64452;64453;64454;64455;64456;64457;64458;65621;67490;67491;67492;67493;67494;68039;68040;68041;68042;68043;68405;68406;68667;68668;69897;69898;70099;70261;70262;70263;70264	1307;2384;2387;2684;2837;6410;6582;6778;6782;9083;10498;14254;16205;18392;20327;21987;24377;25830;27134;27247;30539;31030;31031;31533;31988;32906;33280;34073;34075;35859;35861;36455;37206;37835;39298;44396;45127;45808;47240;47242;47353;47354;47695;48312;48982;50686;50963;53114;54439;57179;57554;57819;58413;59415;59705;62458;62561;63821;64453;64457;65621;67492;67494;68039;68043;68406;68667;69897;70099;70264	1708;1709;1710;1711;1712;1713;1714;1715;1716;1717	87;125;292;301;385;474;494;629;634;638
Tb927.2.6000:mRNA-p1	Tb927.2.6000:mRNA-p1	7	7	7	Tb927.2.6000:mRNA-p1 | transcript=Tb927.2.6000:mRNA | gene=Tb927.2.6000 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=glycosylphosphatidylinositol-specific phospholipase C | transcript_product=glycosylphosphatidylinositol-specific phospholipa	1	7	7	7	5	5	5	5	5	5	33.5	33.5	33.5	40.662	358	358	8			5			5	0	30.769	By MS/MS	By MS/MS	24.9	21.8	152240000	60923000	91318000	8955400	3583700	5371700	11225000	12919000	6	6	12				1604	7943;9809;10432;11922;13242;18368;19408	True;True;True;True;True;True;True	8521;10514;11162;12734;14163;19774;21008	19142;23437;23438;24879;28603;28604;31866;44488;44489;47426	18372;22573;22574;23949;27662;27663;27664;30782;42865;42866;45748;45749	18372;22574;23949;27664;30782;42865;45748		
Tb927.2.6050:mRNA-p1	Tb927.2.6050:mRNA-p1	30	30	30	Tb927.2.6050:mRNA-p1 | transcript=Tb927.2.6050:mRNA | gene=Tb927.2.6050 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=beta prime COP protein | transcript_product=beta prime COP protein | location=Tb927_02_v5.1:1092934-1095501(+) | protein_len	1	30	30	30	28	22	28	22	28	22	38.8	38.8	38.8	94.485	855	855	5.88	1	37	8		28		0	135.81	By MS/MS	By MS/MS	37.5	30.8	1148000000	672600000	475380000	24425000	14311000	10114000	169140000	130870000	36	23	59				1605	4444;4495;6341;8497;8534;8752;9331;9372;10797;12395;12396;14249;15151;16344;16771;17361;17608;17762;18353;20514;21908;22541;25172;25339;27027;27364;27438;27824;28810;29713	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	4764;4819;6787;9105;9144;9379;9995;10036;10037;11545;13236;13237;15235;16183;17465;17924;17925;18545;18805;18965;19753;19754;22173;23640;24312;27124;27299;29133;29492;29493;29573;29574;29988;31071;32033	10759;10760;10761;10762;10890;15245;20423;20424;20499;20500;21038;21039;21040;21041;22359;22360;22361;22362;22455;22456;22457;22458;25753;29802;29803;29804;29805;34457;34458;34459;36434;36435;36436;39391;39392;39393;40416;40417;40418;41778;41779;41780;42321;42322;42675;42676;44448;44449;44450;44451;50038;50039;53309;54736;61030;61419;61420;65801;66657;66658;66659;66660;66833;66834;66835;66836;67830;70330;70331;70332;70333;72474;72475;72476	10291;10292;10293;10294;10417;14566;19639;19640;19707;19708;20236;20237;20238;21503;21504;21505;21591;21592;21593;21594;24808;28784;28785;28786;28787;33267;33268;35143;35144;37958;37959;38914;38915;38916;40236;40237;40767;41109;41110;42823;42824;42825;42826;48244;48245;51332;52683;58761;59144;59145;63484;64332;64333;64334;64335;64494;64495;64496;64497;65459;67859;67860;67861;67862;69950;69951	10293;10417;14566;19639;19708;20237;21504;21591;24808;28785;28787;33268;35143;37959;38916;40237;40767;41109;42826;48245;51332;52683;58761;59145;63484;64335;64496;65459;67860;69951	1718;1719;1720;1721;1722;1723	82;92;124;312;659;805
Tb927.2.6080:mRNA-p1	Tb927.2.6080:mRNA-p1	3	3	3	Tb927.2.6080:mRNA-p1 | transcript=Tb927.2.6080:mRNA | gene=Tb927.2.6080 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_02_v5.1:1097579-109916	1	3	3	3	2	3	2	3	2	3	8.1	8.1	8.1	59.936	528	528	9			2			3	0	9.2288	By MS/MS	By MS/MS	4.5	8.1	23968000	0	23968000	921860	0	921860	0	3650600	2	2	4				1606	22364;22728;26611	True;True;True	24122;24513;28681	54321;54322;55202;55203;64664	52278;52279;53129;53130;62400	52279;53130;62400		
Tb927.2.6100:mRNA-p1	Tb927.2.6100:mRNA-p1	7	7	7	Tb927.2.6100:mRNA-p1 | transcript=Tb927.2.6100:mRNA | gene=Tb927.2.6100 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_02_v5.1:1100463-110192	1	7	7	7	7	2	7	2	7	2	20.9	20.9	20.9	53.279	487	487	5.9			7		1	2	0	52.779	By MS/MS	By MS/MS	20.9	9.7	115790000	82512000	33278000	8270700	5893700	2377000	11338000	7831800	6	2	8				1607	2026;10635;12981;13591;15674;22501;27906	True;True;True;True;True;True;True	2188;11373;13888;14533;16738;24272;30082	5217;25359;31259;32723;37795;37796;37797;54663;68063;68064	4970;24413;30192;31600;36447;36448;52609;65685;65686	4970;24413;30192;31600;36447;52609;65686		
Tb927.2.6150:mRNA-p1	Tb927.2.6150:mRNA-p1	1	1	1	Tb927.2.6150:mRNA-p1 | transcript=Tb927.2.6150:mRNA | gene=Tb927.2.6150 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=adenosine transporter 2 | transcript_product=adenosine transporter 2 | location=Tb927_02_v5.1:1107481-1108869(+) | protein_l	1	1	1	1	1	0	1	0	1	0	2.8	2.8	2.8	50.946	462	462	3			1				0	11.177	By MS/MS		2.8	0	11349000	11349000	0	709340	709340	0	1906700	0	1	0	1				1608	18663	True	20191	45470	43843	43843		
