Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides DEAC2	Peptides SM	Razor + unique peptides DEAC2	Razor + unique peptides SM	Unique peptides DEAC2	Unique peptides SM	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 11	Fraction 12	Fraction 13	Fraction 14	Q-value	Score	Identification type DEAC2	Identification type SM	Sequence coverage DEAC2 [%]	Sequence coverage SM [%]	Intensity	Intensity DEAC2	Intensity SM	iBAQ	iBAQ DEAC2	iBAQ SM	LFQ intensity DEAC2	LFQ intensity SM	MS/MS count DEAC2	MS/MS count SM	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Tb927.11.10690:mRNA-p1	Tb927.11.10690:mRNA-p1	2	2	2		1	2	2	2	1	1	1	1	1	1	7.4	7.4	7.4	45.229	408	408	6.67			1	1			1		0.0029257	10.922	By MS/MS	By MS/MS	4.7	2.7	237860	117340	120510	13214	6519.1	6695	33756	0	1	1	2				654	3574;5999	True;True	3885;6528	9133;15157;15158	10259;16882	10259;16882		
Tb927.11.1070:mRNA-p1	Tb927.11.1070:mRNA-p1	16	16	16		1	16	16	16	16	13	16	13	16	13	24.3	24.3	24.3	75.51	684	684	7.03	1	12	19		5	8	14		0	216.01	By MS/MS	By MS/MS	24.3	20	27193000	20967000	6225900	849770	655210	194560	8050900	3830300	29	28	57				655	133;2149;3313;3976;4249;4486;4898;5025;5367;5634;6670;7009;8902;9704;10019;11353	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	140;141;2332;3596;4323;4615;4874;5339;5484;5850;6132;7334;7335;7781;9819;10702;11040;12501	396;397;398;399;400;401;402;5558;8458;8459;8460;8461;10087;10088;10089;10090;10643;10644;11274;11275;11276;11277;11278;11279;12385;12386;12387;12388;12389;12770;12771;13608;13609;13610;13611;14277;14278;14279;17088;17089;17090;17091;17092;18274;18275;23171;23172;23173;23174;23175;25263;26075;26076;26077;26078;26079;29523;29524;29525	461;462;463;464;465;466;467;6265;6266;9535;9536;11318;11319;11320;11321;11922;11923;12651;12652;12653;12654;12655;12656;12657;13876;13877;13878;13879;14273;15154;15155;15156;15940;15941;19049;19050;19051;19052;20381;20382;20383;25659;25660;25661;25662;28045;28996;28997;28998;28999;29000;29001;29002;29003;32750;32751;32752	462;6265;9535;11319;11922;12653;13877;14273;15155;15941;19049;20381;25660;28045;29003;32751	458;459;460;461	260;482;601;602
Tb927.11.10740:mRNA-p1	Tb927.11.10740:mRNA-p1	8	8	8		1	8	8	8	8	7	8	7	8	7	40.8	40.8	40.8	25.189	218	218	8.71				9				8	0	142.93	By MS/MS	By MS/MS	40.8	35.3	39406000	24596000	14810000	3283800	2049600	1234200	7411500	3917000	9	8	17				656	1465;2171;2690;4692;5563;6552;7679;8827	True;True;True;True;True;True;True;True	1576;2354;2932;2933;5115;6054;7153;8514;9731	3768;3769;5615;5616;6958;6959;6960;11902;11903;14038;14039;14040;16705;20063;20064;22964;22965	4322;4323;6317;6318;7807;7808;7809;13349;13350;15607;15608;15609;18616;22320;22321;25441;25442	4322;6318;7807;13350;15609;18616;22320;25442	462	179
Tb927.11.10760:mRNA-p1	Tb927.11.10760:mRNA-p1	2	2	2		1	2	2	2	0	2	0	2	0	2	2.8	2.8	2.8	69.884	617	617	11.5					1	1			0	11.913		By MS/MS	0	2.8	40996	0	40996	1051.2	0	1051.2	0	98101	0	4	4				657	4874;7609	True;True	5315;8438	12342;19928	13821;13822;13823;22173	13822;22173		
Tb927.11.10780:mRNA-p1	Tb927.11.10780:mRNA-p1	7	7	7		1	7	7	7	4	7	4	7	4	7	31.9	31.9	31.9	30.902	279	279	9.71				6				8	0	67.407	By MS/MS	By MS/MS	18.6	31.9	6021500	2721900	3299700	316920	143260	173670	828350	870310	7	8	15				658	1259;1846;1868;5899;6578;8304;10476	True;True;True;True;True;True;True	1350;2006;2031;6421;7190;7191;9172;11536	3313;4907;4908;4948;4949;14963;16780;16781;16782;16783;21592;27254;27255;27256	3812;5546;5547;5592;5593;16692;18696;18697;18698;18699;23960;30246;30247;30248;30249	3812;5547;5593;16692;18697;23960;30246	463;464	1;101
Tb927.11.10910:mRNA-p1;Tb927.11.10790:mRNA-p1	Tb927.11.10910:mRNA-p1;Tb927.11.10790:mRNA-p1	9;9	9;9	9;9	;	2	9	9	9	7	8	7	8	7	8	42.2	42.2	42.2	27.609	244	244;244	9.35		1	1	8		1	2	10	0	91.073	By MS/MS	By MS/MS	34.4	35.7	184610000	91497000	93111000	13186000	6535500	6650800	24264000	29883000	8	14	22				659	2796;2950;4157;5686;9519;9865;9866;10138;10346	True;True;True;True;True;True;True;True;True	3046;3212;4520;6186;10492;10876;10877;11165;11387	7214;7215;7216;7604;7605;10484;14421;14422;14423;24787;25718;25719;25720;26384;26385;26386;26387;26388;26389;26390;26933;26934;26935	8084;8085;8086;8546;8547;11745;11746;16090;16091;16092;27505;28577;28578;28579;29357;29358;29359;29360;29361;29914;29915;29916	8086;8547;11745;16092;27505;28577;28579;29359;29914	465;466;467	56;176;177
Tb927.11.10820:mRNA-p1	Tb927.11.10820:mRNA-p1	3	3	3		1	3	3	3	3	1	3	1	3	1	13.6	13.6	13.6	33.52	294	294	7.33				4				2	0	26.298	By MS/MS	By MS/MS	13.6	6.1	1888400	1237800	650610	171670	112520	59147	311890	235770	4	2	6				660	2999;6702;9976	True;True;True	3262;7390;10994	7704;17278;25994;25995;25996;25997	8652;19257;28908;28909;28910;28911	8652;19257;28908		
Tb927.11.1090:mRNA-p1;Tb927.11.1100:mRNA-p1;Tb927.11.1110.1-p1;Tb11.v5.1038.1-p1;Tb11.v5.0702.1-p1	Tb927.11.1090:mRNA-p1;Tb927.11.1100:mRNA-p1;Tb927.11.1110.1-p1;Tb11.v5.1038.1-p1	4;2;2;2;1	4;2;2;2;1	2;2;2;2;0	;;;	5	4	4	2	1	3	1	3	1	1	9.9	9.9	9.5	658.93	5837	5837;1096;1520;1576;730	8.5	1				3				0	24.342	By MS/MS	By MS/MS	8.4	1.5	537230	152010	385220	2074.2	586.89	1487.4	0	166420	1	4	5				661	2438;2960;4230;8448	True;True;True;True	2657;3222;4595;9328	6356;7637;10616;22070	7162;8583;11892;11893;24483	7162;8583;11892;24483	468	3346
Tb927.11.10950:mRNA-p1	Tb927.11.10950:mRNA-p1	1	1	1		1	1	1	1	1	1	1	1	1	1	5.2	5.2	5.2	36.848	329	329	9				1				1	0.0027871	8.2638	By MS/MS	By MS/MS	5.2	5.2	331100	123370	207730	18394	6853.8	11541	0	62620	1	1	2				662	10265	True	11301	26727;26728	29713;29714	29714		
Tb927.11.10960:mRNA-p1	Tb927.11.10960:mRNA-p1	1	1	1		1	1	1	1	1	0	1	0	1	0	1.8	1.8	1.8	71.772	650	650	3			1						0.0026724	7.4275	By MS/MS		1.8	0	143390	143390	0	4480.9	4480.9	0	42319	0	1	0	1				663	2446	True	2666	6370	7174	7174		
Tb927.11.10980:mRNA-p1	Tb927.11.10980:mRNA-p1	1	1	1		1	1	1	1	1	1	1	1	1	1	5.8	5.8	5.8	19.343	173	173	9				2				2	0.003148	7.1562	By MS/MS	By MS/MS	5.8	5.8	2641000	1299800	1341200	528210	259960	268250	0	248270	2	2	4				664	11326	True	12470;12471	29413;29414;29415;29416	32598;32599;32600;32601	32598	469	11
Tb927.11.11010:mRNA-p1	Tb927.11.11010:mRNA-p1	3	3	3		1	3	3	3	0	3	0	3	0	3	11.8	11.8	11.8	41.653	348	348	14								3	0	42.572		By MS/MS	0	11.8	670730	0	670730	35301	0	35301	0	202190	0	3	3				665	1045;2169;4082	True;True;True	1125;2352;4440	2851;5613;10329	3304;6315;11583	3304;6315;11583		
Tb927.11.11080:mRNA-p1	Tb927.11.11080:mRNA-p1	4	4	4		1	4	4	4	4	3	4	3	4	3	14.6	14.6	14.6	149.23	1439	1439	5.29	3	3	1	3	2			2	0	39.118	By MS/MS	By MS/MS	14.6	10.8	4175000	2512800	1662200	44415	26732	17683	1369400	736700	7	4	11				666	3877;6114;8161;9149	True;True;True;True	4218;6653;9021;10088	9885;9886;9887;9888;15455;15456;15457;15458;15459;21235;21236;21237;21238;23783	11102;11103;11104;11105;17235;17236;23571;23572;23573;23574;26336	11104;17235;23574;26336		
Tb927.11.11090:mRNA-p1	Tb927.11.11090:mRNA-p1	2	2	2		1	2	2	2	2	1	2	1	2	1	1.7	1.7	1.7	140.36	1464	1464	3.4	2	2			1				0	13.556	By MS/MS	By MS/MS	1.7	0.8	395060	280070	114990	7054.7	5001.2	2053.4	246590	0	3	1	4				667	1091;9455	True;True	1173;10424	2935;2936;2937;24615;24616	3398;3399;3400;27311	3399;27311		
Tb927.11.11120:mRNA-p1	Tb927.11.11120:mRNA-p1	1	1	1		1	1	1	1	1	0	1	0	1	0	5.6	5.6	5.6	22.452	198	198	4				1					0.0028201	8.4962	By MS/MS		5.6	0	117400	117400	0	11740	11740	0	33341	0	1	0	1				668	10414	True	11471	27112	30095	30095		
Tb927.11.11140:mRNA-p1	Tb927.11.11140:mRNA-p1	2	2	2		1	2	2	2	2	0	2	0	2	0	2	2	2	108.85	992	992	2		2							0.0017964	11.606	By MS/MS		2	0	104140	104140	0	1859.7	1859.7	0	84305	0	2	0	2				669	8064;8971	True;True	8920;9891	20963;23349	23254;25851	23254;25851		
Tb927.11.11150:mRNA-p1	Tb927.11.11150:mRNA-p1	1	1	1		1	1	1	1	1	1	1	1	1	1	4	4	4	35.002	326	326	9				1				1	0.0031447	7.1495	By MS/MS	By MS/MS	4	4	277300	178940	98364	15406	9940.9	5464.7	0	29652	1	1	2				670	10811	True	11905	28187;28188	31202;31203	31202		
Tb927.11.11160:mRNA-p1	Tb927.11.11160:mRNA-p1	1	1	1		1	1	1	1	0	1	0	1	0	1	2.2	2.2	2.2	81.45	728	728	13							1		0.0036326	7.0334		By MS/MS	0	2.2	196900	0	196900	9376	0	9376	0	46646	0	1	1				671	7297	True	8096	19104	21275	21275		
Tb927.11.11170:mRNA-p1	Tb927.11.11170:mRNA-p1	1	1	1		1	1	1	1	0	1	0	1	0	1	8.2	8.2	8.2	19.424	171	171	14								1	0.005997	6.6325		By MS/MS	0	8.2	50991	0	50991	5665.7	0	5665.7	0	15371	0	1	1				672	9978	True	10996	26000	28913	28913		
Tb927.11.11220:mRNA-p1	Tb927.11.11220:mRNA-p1	3	2	2		1	3	2	2	1	3	1	2	1	2	0.9	0.6	0.6	480.25	4242	4242	7.83		1	1	1		1	2		0	12.174	By MS/MS	By MS/MS	0.3	0.9	10294000	2586900	7707300	44953	11296	33656	791090	0	3	2	5				673	2469;3594;8998	True;False;True	2691;3913;9922	6433;6434;9232;23414;23415;23416;23417	7250;10360;25922;25923;25924;25925	7250;10360;25923	470;471	2871;2873
Tb927.6.720:mRNA-p1;Tb927.11.11230:mRNA-p1	Tb927.6.720:mRNA-p1;Tb927.11.11230:mRNA-p1	3;3	3;3	3;3	;	2	3	3	3	3	3	3	3	3	3	16.9	16.9	16.9	21.443	189	189;189	7.65	3	3		2	3	1	2	3	0	24.345	By MS/MS	By MS/MS	16.9	16.9	5545300	2045200	3500100	792180	292170	500010	1202200	1378500	10	7	17				674	266;10118;10340	True;True;True	280;11143;11381	741;742;743;744;26333;26334;26335;26336;26337;26338;26913;26914;26915;26916;26917;26918;26919	873;874;875;876;29303;29304;29305;29306;29307;29308;29309;29896;29897;29898;29899;29900;29901	875;29309;29899		
Tb927.11.11300:mRNA-p1	Tb927.11.11300:mRNA-p1	1	1	1		1	1	1	1	1	0	1	0	1	0	5.8	5.8	5.8	21.201	189	189	4				1					0.0040796	6.8486	By MS/MS		5.8	0	55622	55622	0	6952.8	6952.8	0	15797	0	1	0	1				675	9846	True	10856	25669	28531	28531		
Tb927.11.11340:mRNA-p1;Tb11.v5.1036.1-p1	Tb927.11.11340:mRNA-p1;Tb11.v5.1036.1-p1	3;2	3;2	3;2	;	2	3	3	3	3	0	3	0	3	0	3.5	3.5	3.5	87.877	782	782;349	2		4							0	18.593	By MS/MS		3.5	0	649450	649450	0	14119	14119	0	484730	0	5	0	5				676	2973;8220;11040	True;True;True	3236;9083;12155;12156	7659;21386;28682;28683	8604;23729;31756;31757;31758	8604;23729;31756	472	212
Tb927.11.11370:mRNA-p1;Tb927.11.11360:mRNA-p1	Tb927.11.11370:mRNA-p1;Tb927.11.11360:mRNA-p1	21;21	21;21	21;21	;	2	21	21	21	16	21	16	21	16	21	69.5	69.5	69.5	34.69	318	318;318	9.92		2	2	24		1	10	34	0	317.97	By MS/MS	By MS/MS	56	69.5	505730000	221550000	284180000	26618000	11661000	14957000	73441000	71972000	36	49	85				677	932;1466;1499;1788;2948;3098;3223;3398;3399;3956;4159;4160;4366;4367;4368;6408;9329;10816;10819;10824;11339	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1000;1577;1614;1942;3210;3364;3497;3498;3693;3694;4302;4522;4523;4742;4743;4744;6964;10281;11910;11913;11918;11919;12485;12486	2495;2496;2497;2498;3770;3771;3772;3773;3845;3846;3847;3848;4743;4744;4745;4746;4747;4748;4749;7602;7939;7940;7941;7942;8259;8260;8261;8262;8680;8681;8682;8683;8684;8685;10032;10033;10034;10035;10036;10037;10038;10486;10487;10488;10489;10490;10491;10492;10965;10966;10967;10968;10969;10970;10971;10972;10973;10974;16235;16236;24286;24287;28197;28201;28202;28212;28213;29475;29476;29477;29478;29479;29480	2902;2903;2904;2905;2906;4324;4325;4326;4327;4328;4409;4410;4411;4412;4413;5382;5383;5384;5385;5386;5387;5388;5389;5390;5391;8544;8936;8937;8938;9300;9301;9302;9303;9304;9305;9306;9785;9786;9787;9788;9789;9790;9791;11252;11253;11254;11255;11256;11257;11258;11259;11260;11261;11262;11748;11749;11750;11751;11752;11753;12301;12302;12303;12304;12305;12306;12307;12308;18110;18111;26938;26939;31212;31217;31218;31230;31231;32692;32693;32694;32695;32696;32697;32698;32699	2905;4328;4413;5385;8544;8938;9302;9786;9791;11260;11751;11752;12301;12306;12307;18110;26938;31212;31218;31230;32692	473;474;475	143;234;252
Tb927.11.11380:mRNA-p1	Tb927.11.11380:mRNA-p1	7	7	7		1	7	7	7	7	3	7	3	7	3	16	16	16	61.504	550	550	6			7				3		0	68.783	By MS/MS	By MS/MS	16	8.4	3420400	2622200	798200	162870	124870	38010	690210	272780	8	3	11				678	3374;5694;5993;6174;9907;10168;10395	True;True;True;True;True;True;True	3666;6194;6522;6714;10921;11196;11451	8618;8619;14445;15147;15148;15621;25814;25815;26445;27077	9716;9717;16112;16872;16873;17392;17393;28681;28682;29423;30059	9716;16112;16873;17393;28681;29423;30059		
Tb927.11.11480:mRNA-p1	Tb927.11.11480:mRNA-p1	2	2	2		1	2	2	2	2	0	2	0	2	0	10.2	10.2	10.2	78.966	658	658	2.75		2	1	1					0	13.059	By MS/MS		10.2	0	1105900	1105900	0	65050	65050	0	640300	0	3	0	3				679	5680;10481	True;True	6180;11542	14413;14414;14415;27272	16083;16084;30266	16083;30266		
Tb927.11.11510:mRNA-p1	Tb927.11.11510:mRNA-p1	2	2	2		1	2	2	2	1	2	1	2	1	2	6.1	6.1	6.1	34.349	293	293	10.7				1				2	0.0012085	11.772	By MS/MS	By MS/MS	3.1	6.1	401280	145030	256250	25080	9064.4	16016	0	77245	1	3	4				680	2202;6789	True;True	2386;7522	5676;5677;17660	6383;6384;19694;19695	6383;19694		
Tb927.11.11520:mRNA-p1	Tb927.11.11520:mRNA-p1	3	3	3		1	3	3	3	2	3	2	3	2	3	10.1	10.1	10.1	24.027	218	218	10				2				3	0	18.721	By MS/MS	By MS/MS	6.4	10.1	2254600	792480	1462200	173430	60960	112470	262080	403740	2	3	5				681	57;307;11217	True;True;True	58;321;12352	134;820;821;29166;29167	153;964;965;32351;32352	153;965;32352		
Tb927.11.11590:mRNA-p1	Tb927.11.11590:mRNA-p1	2	2	2		1	2	2	2	0	2	0	2	0	2	5.8	5.8	5.8	46.677	413	413	14								2	0	14.887		By MS/MS	0	5.8	166080	0	166080	7220.7	0	7220.7	0	50063	0	3	3				682	4906;8209	True;True	5349;9070	12401;21361	13892;13893;23691	13893;23691		
Tb927.11.11610:mRNA-p1	Tb927.11.11610:mRNA-p1	1	1	1		1	1	1	1	1	0	1	0	1	0	3	3	3	64.588	572	572	3			1						0.0028329	8.7648	By MS/MS		3	0	223530	223530	0	7210.5	7210.5	0	65971	0	1	0	1				683	1871	True	2034	4953	5599	5599		
Tb927.11.11680:mRNA-p1	Tb927.11.11680:mRNA-p1	9	9	9		1	9	9	9	4	8	4	8	4	8	24	24	24	41.143	383	383	11.3				4				11	0	75.159	By MS/MS	By MS/MS	11.5	20.6	13169000	1700800	11468000	731600	94491	637110	840940	2951700	4	11	15				684	837;1475;1796;3558;5512;5593;7074;10208;11135	True;True;True;True;True;True;True;True;True	899;1587;1588;1952;3862;5999;6000;6089;7850;11239;12259	2236;3790;3791;3792;4771;4772;9081;13915;13916;13917;14101;18453;26547;26548;28964	2600;4346;4347;4348;5411;5412;10206;15478;15479;15480;15677;20571;29519;29520;32130	2600;4348;5411;10206;15480;15677;20571;29520;32130	476;477	212;345
Tb927.11.11690:mRNA-p1	Tb927.11.11690:mRNA-p1	24	24	24		1	24	24	24	20	23	20	23	20	23	55.2	55.2	55.2	55.619	495	495	7.37		2	27	17			33		0	226.19	By MS/MS	By MS/MS	45.7	55.2	87840000	41896000	45945000	3660000	1745600	1914400	10051000	11629000	48	46	94				685	994;1027;1449;1478;2276;2784;3297;3678;4191;4655;4950;4975;5238;5428;6846;6931;7489;7619;7845;9086;9510;9666;9998;10359	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1070;1107;1559;1591;2470;3034;3578;4005;4554;5072;5398;5399;5427;5713;5913;7599;7694;8309;8449;8687;10018;10483;10659;10660;11018;11405;11406;11407	2734;2735;2736;2814;3734;3735;3795;3796;3797;3798;5868;5869;7185;7186;7187;8423;8424;9408;10544;11783;11784;12580;12581;12582;12662;12663;13306;13307;13308;13309;13741;13742;13743;13744;17846;17847;17848;18049;18050;19621;19622;19623;19950;19951;19952;20496;23651;23652;23653;24766;24767;24768;25175;25176;25177;25178;25179;25180;25181;25182;25183;25184;25185;25186;26040;26041;26042;26966;26967;26968;26969;26970;26971;26972;26973;26974;26975;26976;26977	3184;3185;3186;3266;4282;4351;4352;4353;4354;4355;4356;6612;6613;8056;8057;8058;8059;8060;9487;9488;9489;9490;10546;10547;11819;13203;13204;13205;14077;14078;14079;14158;14159;14838;14839;14840;14841;14842;15289;15290;15291;19918;19919;20136;20137;21860;21861;22195;22196;22197;22770;26183;26184;27480;27481;27482;27931;27932;27933;27934;27935;27936;27937;27938;27939;27940;27941;27942;27943;27944;27945;27946;27947;27948;27949;27950;27951;27952;27953;28956;28957;28958;28959;28960;28961;29945;29946;29947;29948;29949;29950;29951;29952;29953;29954	3185;3266;4282;4353;6612;8059;9490;10546;11819;13203;14077;14158;14838;15291;19919;20136;21860;22197;22770;26184;27482;27931;28960;29954	478;479;480;481;482	108;116;245;284;406
Tb927.11.11700:mRNA-p1	Tb927.11.11700:mRNA-p1	4	4	4		1	4	4	4	2	3	2	3	2	3	9.7	9.7	9.7	63.371	585	585	9			2				3		0	23.36	By MS/MS	By MS/MS	5.1	7.5	1344300	250370	1093900	53770	10015	43756	0	259150	3	3	6				686	1307;1381;8647;10759	True;True;True;True	1403;1486;9543;11847	3406;3590;22529;28041;28042	3911;4124;4125;24969;31059;31060	3911;4124;24969;31059		
Tb927.11.11710:mRNA-p1	Tb927.11.11710:mRNA-p1	3	3	3		1	3	3	3	2	3	2	3	2	3	9.7	9.7	9.7	38.7	341	341	10.5				2			1	3	0	17.847	By MS/MS	By MS/MS	5.6	9.7	4287500	2313900	1973600	225660	121790	103870	881070	340820	2	4	6				687	5386;9048;9263	True;True;True	5869;9979;10212	13647;13648;23569;23570;24107;24108	15196;15197;15198;26096;26097;26726	15198;26096;26726		
Tb927.11.11720:mRNA-p1	Tb927.11.11720:mRNA-p1	8	8	8		1	8	8	8	8	1	8	1	8	1	16.7	16.7	16.7	68.206	622	622	3.16		8	8	2		1			0	78.468	By MS/MS	By MS/MS	16.7	1.9	4918800	4828800	89926	223580	219490	4087.5	2245900	0	19	1	20				688	333;831;2774;3234;4029;8645;10051;10673	True;True;True;True;True;True;True;True	348;893;3024;3510;4382;9541;11074;11757	869;870;871;2228;2229;7163;7164;8283;8284;8285;10194;10195;22525;22526;26169;26170;27811;27812;27813	1020;1021;1022;2593;8033;9329;9330;9331;9332;11434;24963;24964;24965;24966;29117;29118;30821;30822;30823;30824	1022;2593;8033;9330;11434;24966;29117;30822		
Tb927.11.11780:mRNA-p1	Tb927.11.11780:mRNA-p1	2	2	2		1	2	2	2	2	2	2	2	2	2	5.3	5.3	5.3	66.634	607	607	8			2				2		0	16.634	By MS/MS	By MS/MS	5.3	5.3	421210	123290	297920	14525	4251.5	10273	35949	71018	3	2	5				689	3953;5982	True;True	4299;6509	10027;10028;15125;15126	11247;11248;16849;16850;16851	11248;16851		
Tb927.11.11830:mRNA-p1;Tb927.11.11820:mRNA-p1	Tb927.11.11830:mRNA-p1;Tb927.11.11820:mRNA-p1	4;4	4;4	4;4	;	2	4	4	4	1	4	1	4	1	4	29.6	29.6	29.6	16.222	142	142;142	10.5	1	1				1	1	4	0	28.146	By MS/MS	By MS/MS	9.9	29.6	1275300	92769	1182500	212550	15462	197080	0	417110	3	4	7				690	4190;4238;4861;5902	True;True;True;True	4553;4604;5300;6424	10541;10542;10543;10630;12302;14966;14967;14968	11815;11816;11817;11818;11909;13775;16696	11818;11909;13775;16696		
Tb927.11.11900:mRNA-p1	Tb927.11.11900:mRNA-p1	3	3	3		1	3	3	3	3	0	3	0	3	0	6.5	6.5	6.5	97.586	878	878	2		3							0	18.381	By MS/MS		6.5	0	280030	280030	0	5958.1	5958.1	0	226690	0	3	0	3				691	1857;6266;11131	True;True;True	2018;6812;12255	4932;15846;28960	5575;17600;32126	5575;17600;32126		
Tb927.11.11940:mRNA-p1	Tb927.11.11940:mRNA-p1	2	2	2		1	2	2	2	2	1	2	1	2	1	8.8	8.8	8.8	34.56	306	306	7.33				2				1	0	14.358	By MS/MS	By MS/MS	8.8	3.9	410280	239780	170500	27352	15985	11367	68098	0	3	1	4				692	3089;10428	True;True	3355;11485	7915;7916;27141	8911;8912;30123;30124	8911;30124		
Tb927.11.11980:mRNA-p1;Tb927.11.11975:mRNA-p1;Tb927.11.11965:mRNA-p1	Tb927.11.11980:mRNA-p1;Tb927.11.11975:mRNA-p1;Tb927.11.11965:mRNA-p1	3;3;3	3;3;3	3;3;3	;;	3	3	3	3	0	3	0	3	0	3	25.6	25.6	25.6	14.091	121	121;121;121	14								3	0	18.977		By MS/MS	0	25.6	904480	0	904480	180900	0	180900	0	272650	0	3	3				693	172;5602;8639	True;True;True	182;6098;9535	498;14113;22514	569;15689;24954	569;15689;24954		
Tb927.11.12150:mRNA-p1	Tb927.11.12150:mRNA-p1	8	8	8		1	8	8	8	7	1	7	1	7	1	15.8	15.8	15.8	67.325	587	587	3.9			9			1			0	71.855	By MS/MS	By MS/MS	13.6	2.2	4070200	3930000	140170	116290	112290	4004.9	1104700	0	10	2	12				694	519;4015;5652;5872;6441;8014;9313;10238	True;True;True;True;True;True;True;True	550;4368;6150;6393;6394;7000;7001;8867;10265;11271	1402;10172;14333;14910;14911;16313;16314;20836;24239;26625	1656;1657;11409;15990;16629;16630;18196;18197;18198;23132;26879;29605	1657;11409;15990;16629;18198;23132;26879;29605	483	564
Tb927.11.12200:mRNA-p1	Tb927.11.12200:mRNA-p1	3	3	3		1	3	3	3	3	2	3	2	3	2	42.4	42.4	42.4	10.796	92	92	8.29				4				3	0	26.554	By MS/MS	By MS/MS	42.4	28.3	3853600	1578500	2275100	963410	394620	568790	335200	798930	4	4	8				695	2595;8719;8733	True;True;True	2831;9619;9632	6751;6752;22713;22714;22737;22738;22739	7586;7587;7588;25169;25170;25197;25198;25199	7588;25170;25198		
Tb927.11.12220:mRNA-p1	Tb927.11.12220:mRNA-p1	2	2	2		1	2	2	2	2	0	2	0	2	0	2.6	2.6	2.6	91.361	793	793	2		2							0	14.225	By MS/MS		2.6	0	130250	130250	0	2894.5	2894.5	0	105440	0	3	0	3				696	9734;10120	True;True	10733;11145	25362;26341	28152;28153;29312	28152;29312		
Tb927.11.12230:mRNA-p1	Tb927.11.12230:mRNA-p1	28	28	28		1	28	28	28	25	22	25	22	25	22	52.6	52.6	52.6	54.897	496	496	7.03		4	33			2	24		0	323.31	By MS/MS	By MS/MS	49.4	45.4	42889000	26378000	16511000	1531800	942080	589680	7275700	3935600	36	27	63				697	735;872;1427;1594;2893;3460;4260;4261;4996;4997;5150;5151;6222;6223;6297;7023;7024;7967;9103;9296;9477;9521;9912;9939;10378;10740;10741;11292	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	794;795;935;936;1535;1725;3148;3759;4627;4628;5450;5451;5620;5621;6763;6764;6845;7796;7797;8818;10036;10247;10447;10494;10495;10927;10956;11433;11827;11828;12431	1962;1963;1964;1965;1966;2333;2334;2335;3694;3695;4125;4126;4127;4128;7479;7480;7481;8842;10678;10679;10680;10681;12705;12706;12707;13065;13066;13067;15728;15729;15730;15731;15930;15931;15932;18303;18304;18305;18306;20745;20746;23677;23678;24199;24200;24686;24687;24789;24790;24791;24792;25824;25886;27040;27041;27042;27043;28003;28004;28005;28006;29334;29335	2291;2292;2293;2294;2295;2296;2710;2711;2712;4232;4233;4234;4235;4731;4732;4733;4734;8413;8414;9964;11972;11973;11974;11975;14205;14206;14207;14573;14574;14575;17488;17489;17490;17757;17758;20420;20421;20422;23030;23031;26210;26211;26828;26829;26830;26831;27390;27391;27392;27507;27508;27509;27510;28695;28696;28773;30019;30020;30021;30022;31018;31019;31020;31021;32509;32510;32511	2296;2711;4233;4732;8414;9964;11973;11974;14206;14207;14573;14575;17488;17490;17757;20420;20422;23030;26210;26831;27390;27507;28696;28773;30020;31018;31021;32511	484;485	32;486
Tb927.11.12270:mRNA-p1	Tb927.11.12270:mRNA-p1	2	2	2		1	2	2	2	1	1	1	1	1	1	6.5	6.5	6.5	53.057	491	491	9				1				1	0	12.332	By MS/MS	By MS/MS	2	4.5	494130	385470	108660	35295	27534	7761.6	109470	0	1	1	2				698	3665;5024	True;True	3990;5483	9379;12769	10519;14272	10519;14272		
Tb927.11.12440:mRNA-p1	Tb927.11.12440:mRNA-p1	1	1	1		1	1	1	1	1	0	1	0	1	0	5.1	5.1	5.1	43.41	394	394	4				1					0.002633	7.2264	By MS/MS		5.1	0	986520	986520	0	65768	65768	0	280180	0	1	0	1				699	10028	True	11050	26119	29066	29066		
Tb927.11.12490:mRNA-p1	Tb927.11.12490:mRNA-p1	1	1	1		1	1	1	1	1	0	1	0	1	0	2.4	2.4	2.4	61.903	553	553	2.5		1	1						0.0027322	7.8382	By MS/MS		2.4	0	145250	145250	0	7262.4	7262.4	0	49771	0	1	0	1				700	5454	True	5940	13798;13799	15356	15356		
