,Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides DM-dig,Peptides DM-tx,Peptides TbGPI12-dig,Peptides TbGPI12-tx,Razor + unique peptides DM-dig,Razor + unique peptides DM-tx,Razor + unique peptides TbGPI12-dig,Razor + unique peptides TbGPI12-tx,Unique peptides DM-dig,Unique peptides DM-tx,Unique peptides TbGPI12-dig,Unique peptides TbGPI12-tx,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Fraction average,Fraction 1,Fraction 2,Fraction 11,Fraction 12,Fraction 31,Fraction 32,Fraction 41,Fraction 42,Q-value,Score,Identification type DM-dig,Identification type DM-tx,Identification type TbGPI12-dig,Identification type TbGPI12-tx,Sequence coverage DM-dig [%],Sequence coverage DM-tx [%],Sequence coverage TbGPI12-dig [%],Sequence coverage TbGPI12-tx [%],Intensity,Intensity DM-dig,Intensity DM-tx,Intensity TbGPI12-dig,Intensity TbGPI12-tx,iBAQ,iBAQ DM-dig,iBAQ DM-tx,iBAQ TbGPI12-dig,iBAQ TbGPI12-tx,LFQ intensity DM-dig,LFQ intensity DM-tx,LFQ intensity TbGPI12-dig,LFQ intensity TbGPI12-tx,MS/MS count DM-dig,MS/MS count DM-tx,MS/MS count TbGPI12-dig,MS/MS count TbGPI12-tx,MS/MS count,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions,Gene_id,Gene_desc
283,Tb927.10.1730:mRNA-p1,Tb927.10.1730:mRNA-p1,3,3,3,,1,3,3,3,3,0,0,0,3,0,0,0,3,0,0,0,8.4,8.4,8.4,39.265,357,357,2.0,,3.0,,,,,,,0.0,17.454,By MS/MS,,,,8.4,0.0,0.0,0.0,136690,136690,0,0,0,6508.8,6508.8,0.0,0.0,0.0,32473.0,0,0,0.0,3,0,0,0,3,,,,283,312;2486;4755,True;True;True,329;2692;5205,697;5896;11439,789;6948;13530,789;6948;13530,,,Tb927.10.1730,"Polyadenylation mediator complex protein PAMC3, putative"
284,Tb927.10.180:mRNA-p1,Tb927.10.180:mRNA-p1,10,10,10,,1,10,10,10,8,3,4,0,8,3,4,0,8,3,4,0,32.8,32.8,32.8,34.37,305,305,11.0,9.0,,4.0,,,,3.0,,0.0,65.03699999999999,By MS/MS,By MS/MS,By MS/MS,,24.6,13.8,14.4,0.0,1994800,1529700,204720,260360,0,99739.0,76485.0,10236.0,13018.0,0.0,1408700.0,236580,974960,0.0,12,3,4,0,19,,,,284,655;1701;2060;3375;3604;3624;3633;5734;5833;5856,True;True;True;True;True;True;True;True;True;True,701;1848;2248;3654;3963;3989;3998;6283;6284;6399;6422,1517;3976;4851;8009;8684;8767;8768;8769;8780;8781;13966;13967;14214;14259;14260;14261,1777;1778;4600;5628;5629;9432;10221;10349;10350;10351;10364;10365;16649;16650;16949;16997;16998;16999;17000,1777;4600;5629;9432;10221;10351;10364;16650;16949;16997,228;229;230,102;105;131,Tb927.10.180,"ATP synthase F1 subunit gamma protein, putative"
285,Tb927.10.1830:mRNA-p1,Tb927.10.1830:mRNA-p1,4,4,4,,1,4,4,4,4,0,0,0,4,0,0,0,4,0,0,0,15.2,15.2,15.2,25.824,230,230,1.0,4.0,,,,,,,,0.0,28.645,By MS/MS,,,,15.2,0.0,0.0,0.0,676650,676650,0,0,0,56388.0,56388.0,0.0,0.0,0.0,676650.0,0,0,0.0,7,0,0,0,7,,,,285,1108;3295;5428;5480,True;True;True;True,1202;3569;5948;6008,2582;7838;13201;13332,2981;2982;2983;9236;15744;15745;15897,2982;9236;15745;15897,,,Tb927.10.1830,"syntaxin, putative"
286,Tb927.9.15360:mRNA-p1;Tb927.10.190:mRNA-p1,Tb927.9.15360:mRNA-p1;Tb927.10.190:mRNA-p1,3;3,3;3,3;3,;,2,3,3,3,3,2,0,1,3,2,0,1,3,2,0,1,12.8,12.8,12.8,28.476,250,250;250,18.2,2.0,3.0,,,,1.0,2.0,1.0,0.0,21.965,By MS/MS,By MS/MS,,By MS/MS,12.8,10.0,0.0,6.4,934780,575940,269390,0,89449,93478.0,57594.0,26939.0,0.0,8944.9,212570.0,295080,0,0.0,5,3,0,2,10,,,,286,1745;3053;5192,True;True;True,1894;3308;5684,4078;4079;4080;7274;12558;12559;12560;12561;12562,4715;4716;4717;8586;14995;14996;14997;14998;14999;15000,4717;8586;14998,,,Tb927.9.15360,"40S ribosomal protein S6, putative"
287,Tb927.10.2010:mRNA-p1;Tb11.v5.0732.1-p1,Tb927.10.2010:mRNA-p1;Tb11.v5.0732.1-p1,15;14,15;14,1;1,;,2,15,15,1,8,3,0,14,8,3,0,14,1,0,0,1,38.2,38.2,3.6,51.295,471,471;416,23.1,,9.0,,,,15.0,,3.0,0.0,106.38,By MS/MS,By MS/MS,,By MS/MS,19.7,7.0,0.0,36.5,3304300,1724900,101460,0,1478000,122380.0,63884.0,3757.9,0.0,54739.0,403280.0,303740,0,864970.0,10,4,0,21,35,,,,287,60;499;500;1129;1465;1486;1487;1688;2054;2493;3179;3513;3556;5009;5331,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,64;529;530;1225;1597;1598;1620;1621;1834;2238;2239;2700;3450;3824;3894;5481;5836,129;130;1114;1115;2621;2622;2623;3407;3408;3447;3448;3449;3450;3934;3935;4822;4823;4824;4825;5916;7600;8341;8342;8551;12063;12926;12927,162;163;164;165;1274;1275;1276;1277;3032;3033;3034;3035;3926;3927;3966;3967;3968;3969;3970;4538;4539;5595;5596;5597;5598;6967;8967;8968;9805;9806;10065;14310;14311;15409;15410,164;1276;1277;3032;3926;3966;3970;4539;5596;6967;8967;9805;10065;14311;15409,231;232;233;234,268;305;309;349,Tb927.10.2010,hexokinase
288,Tb927.10.2020:mRNA-p1,Tb927.10.2020:mRNA-p1,15,1,1,,1,15,1,1,8,3,0,13,1,0,0,0,1,0,0,0,38.2,3.6,3.6,51.148,471,471,2.0,,2.0,,,,,,,0.008593799999999999,6.2092,By MS/MS,By matching,,By matching,19.7,7.0,0.0,32.9,106990,106990,0,0,0,3962.5,3962.5,0.0,0.0,0.0,14521.0,0,0,0.0,2,0,0,0,2,,,,288,60;499;500;1129;1465;1486;1487;1688;2055;2493;3179;3513;3556;5009;5331,False;False;False;False;False;False;False;False;True;False;False;False;False;False;False,64;529;530;1225;1597;1598;1620;1621;1834;2240;2241;2700;3450;3824;3894;5481;5836,129;130;1114;1115;2621;2622;2623;3407;3408;3447;3448;3449;3450;3934;3935;4826;4827;5916;7600;8341;8342;8551;12063;12926;12927,162;163;164;165;1274;1275;1276;1277;3032;3033;3034;3035;3926;3927;3966;3967;3968;3969;3970;4538;4539;5599;5600;6967;8967;8968;9805;9806;10065;14310;14311;15409;15410,164;1276;1277;3032;3926;3966;3970;4539;5599;6967;8967;9805;10065;14311;15409,231;233;234;235,268;305;309;349,Tb927.10.2020,hexokinase
289,Tb927.10.2190:mRNA-p1,Tb927.10.2190:mRNA-p1,3,3,3,,1,3,3,3,1,2,0,3,1,2,0,3,1,2,0,3,16.0,16.0,16.0,34.552,294,294,30.0,,1.0,,,,3.0,2.0,,0.0,21.133000000000003,By MS/MS,By MS/MS,,By MS/MS,3.7,12.2,0.0,16.0,418850,32384,103490,0,282980,34904.0,2698.6,8623.9,0.0,23581.0,0.0,0,0,193930.0,1,4,0,3,8,,,,289,606;2964;3442,True;True;True,645;3210;3725,1423;1424;7012;7013;8143;8144,1660;1661;8277;8278;8279;9580;9581;9582,1660;8278;9581,,,Tb927.10.2190,"Protein of unknown function (DUF667), putative"
290,Tb927.10.6370:mRNA-p1;Tb927.10.220:mRNA-p1,Tb927.10.6370:mRNA-p1;Tb927.10.220:mRNA-p1,1;1,1;1,1;1,;,2,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,19.4,19.4,19.4,10.458,93,93;93,41.0,,,,,,,1.0,,0.00090498,7.1319,,By MS/MS,,,0.0,19.4,0.0,0.0,67727,0,67727,0,0,22576.0,0.0,22576.0,0.0,0.0,0.0,59378,0,0.0,0,1,0,0,1,,,,290,4979,True,5448,11991,14227,14227,,,Tb927.10.6370,"60S ribosomal proteins L37, putative"
291,Tb927.10.2250:mRNA-p1,Tb927.10.2250:mRNA-p1,2,2,2,,1,2,2,2,0,2,0,0,0,2,0,0,0,2,0,0,8.4,8.4,8.4,33.781,299,299,41.0,,,,,,,2.0,,0.0,13.232000000000001,,By MS/MS,,,0.0,8.4,0.0,0.0,104130,0,104130,0,0,10413.0,0.0,10413.0,0.0,0.0,0.0,91297,0,0.0,0,2,0,0,2,,,,291,362;2685,True;True,385;2912,791;6427,890;7561,890;7561,,,Tb927.10.2250,"ubiquitin-conjugating enzyme variant Kua homologue, putative"
292,Tb927.10.2290:mRNA-p1,Tb927.10.2290:mRNA-p1,5,5,5,,1,5,5,5,4,1,0,4,4,1,0,4,4,1,0,4,14.4,14.4,14.4,46.795,416,416,18.0,,5.0,,,,4.0,,1.0,0.0,32.751999999999995,By MS/MS,By MS/MS,,By MS/MS,10.3,1.9,0.0,12.0,1361200,877760,28761,0,454720,71644.0,46198.0,1513.7,0.0,23933.0,217560.0,0,0,276300.0,5,1,0,6,12,,,,292,1145;1503;2554;5179;5305,True;True;True;True;True,1245;1246;1640;2773;5670;5807,2665;2666;2667;3505;3506;6117;12515;12847;12848;12849,3088;3089;3090;4029;4030;4031;7207;7208;14943;15323;15324;15325,3090;4029;7207;14943;15325,236,312,Tb927.10.2290,"chaperone protein DnaJ, putative"
293,Tb927.10.230:mRNA-p1,Tb927.10.230:mRNA-p1,6,6,6,,1,6,6,6,4,5,0,0,4,5,0,0,4,5,0,0,28.9,28.9,28.9,27.176,246,246,23.2,4.0,,,,,,5.0,,0.0,40.589,By MS/MS,By MS/MS,,,15.9,28.5,0.0,0.0,798510,390540,407970,0,0,61424.0,30041.0,31383.0,0.0,0.0,366530.0,381690,0,0.0,3,3,0,0,6,,,,293,2408;3020;3245;4152;4945;5395,True;True;True;True;True;True,2605;3269;3517;4560;5411;5912,5662;7157;7723;7724;9987;11925;11926;13109;13110,6655;8440;9114;9115;11802;14150;14151;15626;15627,6655;8440;9115;11802;14151;15626,,,Tb927.10.230,"proteasome subunit alpha type-5, putative"
294,Tb927.10.2350:mRNA-p1,Tb927.10.2350:mRNA-p1,2,2,2,,1,2,2,2,2,2,2,0,2,2,2,0,2,2,2,0,9.2,9.2,9.2,27.335,260,260,17.7,2.0,,2.0,,,,2.0,,0.0,14.419,By MS/MS,By MS/MS,By MS/MS,,9.2,9.2,9.2,0.0,1104500,777390,135310,191770,0,84959.0,59800.0,10408.0,14751.0,0.0,795750.0,117750,691540,0.0,3,3,3,0,9,,,,294,34;101,True;True,36;106,71;72;73;222;223;224,88;89;90;273;274;275;276;277;278,88;273,,,Tb927.10.2350,"pyruvate dehydrogenase complex E3 binding protein, putative"
295,Tb927.10.2370:mRNA-p1,Tb927.10.2370:mRNA-p1,3,3,3,,1,3,3,3,3,0,0,1,3,0,0,1,3,0,0,1,9.3,9.3,9.3,37.659,335,335,7.0,,5.0,,,,1.0,,,0.0,20.508000000000003,By MS/MS,,,By MS/MS,9.3,0.0,0.0,3.3,748280,685450,0,0,62834,32534.0,29802.0,0.0,0.0,2731.9,139560.0,0,0,0.0,5,0,0,1,6,,,,295,1429;2257;3398,True;True;True,1557;2449;3678;3679,3330;3331;5277;8053;8054;8055,3835;3836;6135;9473;9474;9475,3836;6135;9475,237,81,Tb927.10.2370,"Lupus La protein homolog, putative"
296,Tb927.10.240:mRNA-p1,Tb927.10.240:mRNA-p1,6,6,6,,1,6,6,6,6,0,0,0,6,0,0,0,6,0,0,0,22.1,22.1,22.1,39.937,366,366,2.0,,6.0,,,,,,,0.0,39.685,By MS/MS,,,,22.1,0.0,0.0,0.0,624740,624740,0,0,0,34708.0,34708.0,0.0,0.0,0.0,148430.0,0,0,0.0,7,0,0,0,7,,,,296,175;947;1960;4400;4413;5462,True;True;True;True;True;True,184;1029;2127;4822;4835;5988,384;2205;4550;10602;10633;13284,449;2558;2559;5258;12515;12554;15836,449;2559;5258;12515;12554;15836,,,Tb927.10.240,"peroxin 14, putative"
297,Tb927.10.2540:mRNA-p1,Tb927.10.2540:mRNA-p1,2,2,2,,1,2,2,2,1,1,0,0,1,1,0,0,1,1,0,0,12.2,12.2,12.2,25.656,229,229,21.0,1.0,,,,,,1.0,,0.00099305,11.142999999999999,By MS/MS,By MS/MS,,,5.7,6.6,0.0,0.0,57456,25649,31807,0,0,4104.0,1832.0,2271.9,0.0,0.0,0.0,27886,0,0.0,1,1,0,0,2,,,,297,3508;5873,True;True,3819;6440,8336;14301,9800;17055,9800;17055,,,Tb927.10.2540,"adenylate kinase, putative"
298,Tb927.10.2550:mRNA-p1,Tb927.10.2550:mRNA-p1,4,4,4,,1,4,4,4,3,1,0,0,3,1,0,0,3,1,0,0,15.4,15.4,15.4,38.998000000000005,357,357,8.17,2.0,3.0,,,,,1.0,,0.0,26.944000000000003,By MS/MS,By MS/MS,,,9.2,6.2,0.0,0.0,448620,333720,114890,0,0,22431.0,16686.0,5744.6,0.0,0.0,125610.0,0,0,0.0,5,2,0,0,7,,,,298,54;532;860;1367,True;True;True;True,58;565;929;1493,109;1215;2008;2009;3181;3182,138;139;1400;1401;2332;3644;3645,139;1401;2332;3644,,,Tb927.10.2550,malate dehydrogenase-related
299,Tb927.10.2560:mRNA-p1,Tb927.10.2560:mRNA-p1,9,9,9,,1,9,9,9,5,8,6,1,5,8,6,1,5,8,6,1,36.2,36.2,36.2,33.188,318,318,18.1,8.0,3.0,6.0,1.0,1.0,1.0,9.0,,0.0,67.85600000000001,By MS/MS,By MS/MS,By MS/MS,By MS/MS,18.2,33.3,21.4,3.5,10641000,5436300,4241000,885720,78137,709410.0,362420.0,282730.0,59048.0,5209.1,6588700.0,2140100,3267500,0.0,12,11,6,1,30,,,,299,534;1079;2444;2960;3697;4740;5072;5434;5482,True;True;True;True;True;True;True;True;True,567;1172;2647;3206;4066;5189;5554;5955;6010,1217;1218;1219;1220;1221;2511;5790;5791;6995;6996;6997;6998;6999;7000;8916;8917;8918;11371;11372;11373;11374;12251;13221;13222;13340;13341;13342;13343;13344,1405;1406;1407;1408;1409;1410;2897;6814;6815;6816;6817;8262;8263;8264;8265;8266;8267;10529;10530;10531;13440;13441;14629;15765;15766;15903;15904;15905;15906;15907;15908,1407;2897;6815;8266;10529;13441;14629;15766;15903,,,Tb927.10.2560,mitochondrial malate dehydrogenase
300,Tb927.10.2610:mRNA-p1,Tb927.10.2610:mRNA-p1,1,1,1,,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,3.1,3.1,3.1,54.358000000000004,484,484,2.0,,1.0,,,,,,,0.00097087,9.6318,By MS/MS,,,,3.1,0.0,0.0,0.0,227860,227860,0,0,0,10850.0,10850.0,0.0,0.0,0.0,54134.0,0,0,0.0,2,0,0,0,2,,,,300,4820,True,5271,11576,13733;13734,13733,,,Tb927.10.2610,"Domain of unknown function (DUF1935), putative"
301,Tb927.9.15420:mRNA-p1;Tb927.10.270:mRNA-p1,Tb927.9.15420:mRNA-p1;Tb927.10.270:mRNA-p1,1;1,1;1,1;1,;,2,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,9.1,9.1,9.1,15.353,132,132;132,1.0,2.0,,,,,,,,0.0025706999999999995,6.8357,By MS/MS,,,,9.1,0.0,0.0,0.0,178820,178820,0,0,0,25546.0,25546.0,0.0,0.0,0.0,178820.0,0,0,0.0,2,0,0,0,2,,,,301,5653,True,6192,13755;13756,16389;16390,16389,,,Tb927.9.15420,60S ribosomal protein L32
302,Tb927.10.2810:mRNA-p1,Tb927.10.2810:mRNA-p1,7,7,7,,1,7,7,7,7,0,0,2,7,0,0,2,7,0,0,2,20.1,20.1,20.1,38.589,338,338,6.92,1.0,9.0,,,,2.0,,,0.0,47.36,By MS/MS,,,By MS/MS,20.1,0.0,0.0,5.9,2945900,2761100,0,0,184840,155050.0,145320.0,0.0,0.0,9728.4,635010.0,0,0,169670.0,10,0,0,3,13,,,,302,59;850;1073;1269;2326;4130;4785,True;True;True;True;True;True;True,63;918;1166;1380;2521;4537;4538;5236,127;128;1984;2496;2986;5469;5470;5471;9941;9942;9943;11496,158;159;160;161;2300;2301;2882;3419;6420;6421;11744;11745;11746;13620,159;2300;2882;3419;6420;11744;13620,238,248,Tb927.10.2810,"hypothetical protein, conserved"
303,Tb927.3.1370:mRNA-p1;Tb927.10.2840:mRNA-p1,Tb927.3.1370:mRNA-p1;Tb927.10.2840:mRNA-p1,2;2,2;2,2;2,;,2,2,2,2,2,0,0,0,2,0,0,0,2,0,0,0,15.9,15.9,15.9,12.56,113,113;113,1.33,2.0,1.0,,,,,,,0.00098619,11.013,By MS/MS,,,,15.9,0.0,0.0,0.0,360390,360390,0,0,0,72079.0,72079.0,0.0,0.0,0.0,287200.0,0,0,0.0,2,0,0,0,2,,,,303,2610;5270,True;True,2832;5769,6274;12751;12752,7388;15216,7388;15216,,,Tb927.3.1370,"40S ribosomal protein S25, putative"
304,Tb927.10.290:mRNA-p1,Tb927.10.290:mRNA-p1,4,4,4,,1,4,4,4,4,2,0,0,4,2,0,0,4,2,0,0,21.2,21.2,21.2,25.354,231,231,14.3,4.0,,,,,,2.0,,0.0,26.642,By MS/MS,By MS/MS,,,21.2,12.1,0.0,0.0,744040,617280,126760,0,0,53146.0,44092.0,9054.5,0.0,0.0,559210.0,169210,0,0.0,4,3,0,0,7,,,,304,491;3408;3591;4252,True;True;True;True,520;3689;3944;4665,1096;8080;8081;8641;10186;10187,1255;9502;9503;9504;9505;10173;12031;12032,1255;9504;10173;12031,,,Tb927.10.290,"proteasome alpha 2 subunit, putative"
305,Tb927.10.3030:mRNA-p1;Tb927.10.2980:mRNA-p1,Tb927.10.3030:mRNA-p1;Tb927.10.2980:mRNA-p1,11;11,11;11,11;11,;,2,11,11,11,5,11,3,1,5,11,3,1,5,11,3,1,39.0,39.0,39.0,33.847,305,305;305,21.1,8.0,4.0,3.0,,1.0,,13.0,,0.0,97.384,By MS/MS,By MS/MS,By MS/MS,By MS/MS,18.0,39.0,12.1,3.6,5125500,2245600,2608600,240580,30696,320340.0,140350.0,163040.0,15036.0,1918.5,2021100.0,1508900,1203100,0.0,13,19,4,1,37,,,,305,51;279;934;1018;1561;2195;2534;3490;4054;4055;4619,True;True;True;True;True;True;True;True;True;True;True,55;295;1015;1107;1700;2386;2747;2748;3792;3793;4458;4459;5059,104;624;625;626;627;628;2185;2408;3618;5139;6005;6006;6007;6008;8279;8280;8281;8282;8283;8284;8285;8286;9801;9802;9803;11114;11115;11116;11117,132;133;707;708;709;710;711;712;2536;2778;4147;4148;5961;7061;7062;7063;7064;7065;7066;9735;9736;9737;9738;9739;9740;9741;9742;9743;11574;11575;11576;11577;11578;13147;13148;13149;13150,133;709;2536;2778;4147;5961;7064;9740;11575;11578;13150,239;240,1;169,Tb927.10.3030,proteasome regulatory non-ATPase subunit 11
306,Tb927.10.3120:mRNA-p1,Tb927.10.3120:mRNA-p1,3,3,3,,1,3,3,3,3,0,0,0,3,0,0,0,3,0,0,0,13.4,13.4,13.4,26.948,232,232,1.0,4.0,,,,,,,,0.0,19.745,By MS/MS,,,,13.4,0.0,0.0,0.0,297750,297750,0,0,0,24812.0,24812.0,0.0,0.0,0.0,239570.0,0,0,0.0,6,0,0,0,6,,,,306,914;1707;2572,True;True;True,993;994;1854;2793,2142;2143;3983;6174,2484;2485;2486;2487;4609;7277,2485;4609;7277,241,97,Tb927.10.3120,"cytochrome c oxidase assembly protein, putative"
307,Tb927.10.3150:mRNA-p1,Tb927.10.3150:mRNA-p1,3,3,3,,1,3,3,3,2,1,0,0,2,1,0,0,2,1,0,0,13.7,13.7,13.7,23.621,205,205,14.3,2.0,,,,,,1.0,,0.0,17.523,By MS/MS,By MS/MS,,,8.3,5.4,0.0,0.0,164540,125160,39383,0,0,14958.0,11378.0,3580.3,0.0,0.0,125160.0,0,0,0.0,2,1,0,0,3,,,,307,1262;3095;5297,True;True;True,1373;3354;5799,2966;7376;12822,3395;8694;15294,3395;8694;15294,,,Tb927.10.3150,"N-acetyltransferase, putative"
308,Tb927.10.3170:mRNA-p1;Tb11.v5.0791.1-p1,Tb927.10.3170:mRNA-p1;Tb11.v5.0791.1-p1,9;5,9;5,9;5,;,2,9,9,9,8,0,2,0,8,0,2,0,8,0,2,0,14.0,14.0,14.0,82.425,723,723;632,3.18,5.0,4.0,2.0,,,,,,0.0,59.556000000000004,By MS/MS,,By MS/MS,,12.2,0.0,3.5,0.0,853700,758880,0,94822,0,22466.0,19971.0,0.0,2495.3,0.0,449360.0,0,0,0.0,10,0,3,0,13,,,,308,232;331;987;1484;3402;3426;4208;4365;5167,True;True;True;True;True;True;True;True;True,244;349;1073;1074;1618;3683;3708;4618;4787;5657,520;727;2342;2343;3445;8064;8118;10102;10507;10508;12488,596;597;822;2703;2704;3964;9486;9549;11935;12408;12409;12410;14912,596;822;2703;3964;9486;9549;11935;12410;14912,242,532,Tb927.10.3170,"ABC transporter, putative"
309,Tb927.10.3210:mRNA-p1,Tb927.10.3210:mRNA-p1,7,7,7,,1,7,7,7,7,0,0,0,7,0,0,0,7,0,0,0,15.9,15.9,15.9,62.036,561,561,1.8,2.0,8.0,,,,,,,0.0,59.963,By MS/MS,,,,15.9,0.0,0.0,0.0,1216000,1216000,0,0,0,34744.0,34744.0,0.0,0.0,0.0,317910.0,0,0,0.0,10,0,0,0,10,,,,309,123;467;644;896;2210;3464;5645,True;True;True;True;True;True;True,130;495;690;973;2401;3754;3755;6184,277;1032;1033;1503;2100;5175;5176;8209;8210;13744,337;1176;1762;2436;6002;9658;9659;9660;16376;16377,337;1176;1762;2436;6002;9658;16377,243,23,Tb927.10.3210,"delta-1-pyrroline-5-carboxylate dehydrogenase, putative"
310,Tb927.10.3290:mRNA-p1,Tb927.10.3290:mRNA-p1,2,2,2,,1,2,2,2,0,2,0,0,0,2,0,0,0,2,0,0,8.4,8.4,8.4,30.83,273,273,41.0,,,,,,,2.0,,0.0,12.392000000000001,,By MS/MS,,,0.0,8.4,0.0,0.0,131640,0,131640,0,0,8775.9,0.0,8775.9,0.0,0.0,0.0,115410,0,0.0,0,2,0,0,2,,,,310,28;3323,True;True,30;3599,63;7892,79;9298,79;9298,,,Tb927.10.3290,"hypothetical protein, conserved"
311,Tb927.10.330:mRNA-p1,Tb927.10.330:mRNA-p1,1,1,1,,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,3.2,3.2,3.2,47.777,435,435,2.0,,1.0,,,,,,,0.0033445,6.7298,By MS/MS,,,,3.2,0.0,0.0,0.0,73953,73953,0,0,0,3215.4,3215.4,0.0,0.0,0.0,17570.0,0,0,0.0,1,0,0,0,1,,,,311,2955,True,3201,6985,8249,8249,,,Tb927.10.330,"hypothetical protein, conserved"
312,Tb927.10.340:mRNA-p1,Tb927.10.340:mRNA-p1,3,3,3,,1,3,3,3,1,3,0,0,1,3,0,0,1,3,0,0,11.5,11.5,11.5,33.567,295,295,31.0,1.0,,,,,,3.0,,0.0,19.118,By MS/MS,By MS/MS,,,3.7,11.5,0.0,0.0,239980,19863,220120,0,0,14116.0,1168.4,12948.0,0.0,0.0,0.0,192980,0,0.0,1,3,0,0,4,,,,312,592;1394;5732,True;True;True,631;1521;6281,1393;3269;3270;13963,1624;3768;3769;16646,1624;3768;16646,,,Tb927.10.340,"mitochondrial structure specific endonuclease I (SSE-1), putative"
313,Tb927.10.3520:mRNA-p1;Tb927.1.1560:mRNA-p1;Tb11.v5.0464.1-p1,Tb927.10.3520:mRNA-p1,14;1;1,14;1;1,13;0;0,,3,14,14,13,13,1,0,7,13,1,0,7,12,0,0,6,37.3,37.3,34.3,44.855,399,399;725;725,14.0,1.0,14.0,,,,7.0,1.0,1.0,0.0,91.906,By MS/MS,By MS/MS,,By MS/MS,33.3,3.0,0.0,21.3,6394700,5472100,115300,0,807290,255790.0,218880.0,4612.1,0.0,32291.0,1253900.0,0,0,613790.0,15,1,0,8,24,,,,313,243;1016;1307;1431;1562;2158;2381;2646;2730;2743;3830;3946;3958;5204,True;True;True;True;True;True;True;True;True;True;True;True;True;True,256;1105;1427;1559;1701;2349;2577;2870;2963;2977;4215;4216;4343;4356;5696,540;541;2404;2405;3070;3334;3335;3619;3620;5068;5069;5070;5071;5072;5575;6341;6525;6545;9297;9298;9540;9541;9579;12592,621;622;2773;2774;2775;3507;3839;3840;4149;4150;5884;5885;5886;6547;7465;7685;7714;7715;10984;10985;11286;11287;11324;15035,621;2773;3507;3840;4149;5885;6547;7465;7685;7714;10985;11287;11324;15035,244,361,Tb927.10.3520,protease regulatory ATPase subunit 4
314,Tb927.10.3560:mRNA-p1,Tb927.10.3560:mRNA-p1,6,6,6,,1,6,6,6,4,0,0,4,4,0,0,4,4,0,0,4,18.5,18.5,18.5,42.121,389,389,17.0,,4.0,,,,4.0,,,0.0,46.788999999999994,By MS/MS,,,By MS/MS,11.6,0.0,0.0,13.1,452100,308530,0,0,143570,19656.0,13414.0,0.0,0.0,6242.1,61146.0,0,0,110540.0,3,0,0,5,8,,,,314,1736;2447;3678;4375;4522;4922,True;True;True;True;True;True,1883;2650;4045;4797;4951;5384,4062;4063;5796;8865;10536;10537;10861;11879,4696;4697;6825;6826;10466;12443;12444;12803;14086,4697;6826;10466;12443;12803;14086,,,Tb927.10.3560,"arginine N-methyltransferase, putative"
315,Tb927.10.3580:mRNA-p1,Tb927.10.3580:mRNA-p1,2,2,2,,1,2,2,2,2,0,0,0,2,0,0,0,2,0,0,0,6.2,6.2,6.2,35.611999999999995,324,324,2.0,,2.0,,,,,,,0.0,12.720999999999998,By MS/MS,,,,6.2,0.0,0.0,0.0,172360,172360,0,0,0,10772.0,10772.0,0.0,0.0,0.0,40948.0,0,0,0.0,2,0,0,0,2,,,,315,1312;5864,True;True,1433;6431,3079;14270,3517;17009,3517;17009,,,Tb927.10.3580,"hypothetical protein, conserved"
317,Tb927.10.3660:mRNA-p1,Tb927.10.3660:mRNA-p1,2,2,2,,1,2,2,2,2,0,0,2,2,0,0,2,2,0,0,2,6.0,6.0,6.0,44.787,403,403,13.8,1.0,2.0,,,,2.0,,,0.0,12.707,By MS/MS,,,By MS/MS,6.0,0.0,0.0,6.0,214940,126040,0,0,88902,9769.9,5728.9,0.0,0.0,4041.0,37214.0,0,0,67636.0,2,0,0,3,5,,,,317,2865;5232,True;True,3106;5726,6812;6813;12649;12650;12651,8051;8052;15100;15101;15102,8051;15100,,,Tb927.10.3660,aspartate aminotransferase
318,Tb927.10.3700:mRNA-p1,Tb927.10.3700:mRNA-p1,2,2,2,,1,2,2,2,2,0,0,0,2,0,0,0,2,0,0,0,5.0,5.0,5.0,55.222,502,502,2.0,,2.0,,,,,,,0.0,14.142000000000001,By MS/MS,,,,5.0,0.0,0.0,0.0,131660,131660,0,0,0,4540.0,4540.0,0.0,0.0,0.0,31280.0,0,0,0.0,3,0,0,0,3,,,,318,1229;4937,True;True,1335;5401,2879;11910,3319;14133;14134,3319;14134,,,Tb927.10.3700,"AMP-activated protein kinase, gamma regulatory subunit"
