Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 1	Razor + unique peptides 1	Unique peptides 1	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Q-value	Score	Identification type 1	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Ratio H/L 1	Ratio H/L normalized 1	Ratio H/L variability [%] 1	Ratio H/L count 1	Ratio H/L iso-count 1	Ratio H/L type 1	Sequence coverage 1 [%]	Intensity	Intensity L	Intensity H	Intensity 1	Intensity L 1	Intensity H 1	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Tb927.3.3820:mRNA-p1	Tb927.3.3820:mRNA-p1	1	1	1		1	1	1	1	1	1	1	2.5	2.5	2.5	45.231	406	406	4				1			0	2.7204	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	2.5	171140	93177	77958	171140	93177	77958				1238	6983	True	7336	9820	13469;13470	13470		
Tb927.3.3850:mRNA-p1	Tb927.3.3850:mRNA-p1	3	3	3		1	3	3	3	3	3	3	3.3	3.3	3.3	146.55	1387	1387	1	3						0	12.614	By MS/MS	0.90411	0.88853	0.4067	2	0	Median	0.90411	0.88853	0.4067	2	0	Median	3.3	510610	244470	266140	510610	244470	266140				1239	1671;2107;3181	True;True;True	1749;2210;3327	2323;2914;4413	3178;3179;4055;6137;6138	3178;4055;6138		
Tb927.3.3880:mRNA-p1	Tb927.3.3880:mRNA-p1	2	2	2		1	2	2	2	2	2	2	15.3	15.3	15.3	15.235	137	137	6						2	0	4.0248	By MS/MS	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	15.3	0	0	0	0	0	0				1240	142;4040	True;True	147;4214	199;5648	284;7916	284;7916	676;677	48;101
Tb927.3.3890:mRNA-p1	Tb927.3.3890:mRNA-p1	2	2	2		1	2	2	2	2	2	2	7.8	7.8	7.8	36.68	320	320	4				2			0	5.5029	By MS/MS	0.9653	0.93956	10.135	2	0	Median	0.9653	0.93956	10.135	2	0	Median	7.8	594850	288080	306770	594850	288080	306770				1241	2471;3081	True;True	2587;3225	3413;4269	4749;5948;5949	4749;5948		
Tb927.3.3900:mRNA-p1	Tb927.3.3900:mRNA-p1	7	7	7		1	7	7	7	7	7	7	15.6	15.6	15.6	67.395	621	621	2		7					0	16.304	By MS/MS	0.85906	0.83233	12.097	4	1	Leave out requantified	0.85906	0.83233	12.097	4	1	Leave out requantified	15.6	1978100	977160	1000900	1978100	977160	1000900				1242	2050;4389;4421;4993;5191;5269;8180	True;True;True;True;True;True;True	2148;4577;4609;5204;5405;5488;8586	2843;6140;6181;6972;7225;7328;11548	3953;8516;8517;8572;9635;9636;9637;9963;10107;10108;15922	3953;8517;8572;9636;9963;10107;15922		
Tb927.3.3940:mRNA-p1;Tb927.3.3960:mRNA-p1;Tb927.3.3930:mRNA-p1	Tb927.3.3940:mRNA-p1	4;1;1	4;1;1	4;1;1		3	4	4	4	4	4	4	11.5	11.5	11.5	61.716	593	593;377;426	2		4					0	21.366	By MS/MS	1.0446	0.99419	32.002	4	0	Leave out requantified	1.0446	0.99419	32.002	4	0	Leave out requantified	11.5	3150800	1544100	1606700	3150800	1544100	1606700				1243	333;2980;5463;5760	True;True;True;True	342;3110;5698;6070	463;4120;7571;8070	651;652;5738;5739;10423;11127	652;5738;10423;11127	678	1
Tb927.3.3950:mRNA-p1	Tb927.3.3950:mRNA-p1	5	5	5		1	5	5	5	5	5	5	12	12	12	62.246	550	550	2		5					0	47.97	By MS/MS	0.92571	0.8723	8.636	4	1	Leave out requantified	0.92571	0.8723	8.636	4	1	Leave out requantified	12	2355200	1203700	1151500	2355200	1203700	1151500				1244	4926;5295;6228;7635;8849	True;True;True;True;True	5135;5515;6559;8021;9287	6869;7358;8773;10810;12476	9495;10148;10149;12074;14844;14845;17233;17234	9495;10148;12074;14844;17233		
Tb927.3.3970:mRNA-p1	Tb927.3.3970:mRNA-p1	1	1	1		1	1	1	1	1	1	1	5.1	5.1	5.1	32.553	297	297	4				1			0	2.9571	By MS/MS	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	5.1	0	0	0	0	0	0				1245	5958	True	6279	8409	11590	11590		
Tb927.3.4040:mRNA-p1	Tb927.3.4040:mRNA-p1	2	2	2		1	2	2	2	2	2	2	4.5	4.5	4.5	67.631	619	619	2		2					0	25.751	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	4.5	433480	289650	143830	433480	289650	143830				1246	1736;7249	True;True	1817;7615	2412;10221	3325;14035	3325;14035		
Tb927.3.4060:mRNA-p1	Tb927.3.4060:mRNA-p1	3	3	3		1	3	3	3	3	3	3	4.6	4.6	4.6	92.385	856	856	1	3						0	12.55	By MS/MS	1.2982	1.2892	21.647	3	0	Leave out requantified	1.2982	1.2892	21.647	3	0	Leave out requantified	4.6	1228900	572880	656070	1228900	572880	656070				1247	4097;5305;5328	True;True;True	4272;5526;5550	5730;7371;7398	8024;10164;10201;10202	8024;10164;10201		
Tb927.3.4120:mRNA-p1	Tb927.3.4120:mRNA-p1	7	7	7		1	7	7	7	7	7	7	15.8	15.8	15.8	73.301	677	677	2		7					0	56.792	By MS/MS	1.1108	1.0564	4.5658	3	0	Leave out requantified	1.1108	1.0564	4.5658	3	0	Leave out requantified	15.8	6168000	3019100	3148900	6168000	3019100	3148900				1248	729;1001;1422;4438;7052;8831;8919	True;True;True;True;True;True;True	754;1040;1488;4626;7409;9269;9360	994;1392;1962;6201;9935;12456;12567	1391;1392;1941;2710;2711;8598;13621;17209;17364;17365	1392;1941;2710;8598;13621;17209;17365		
Tb927.3.4160:mRNA-p1	Tb927.3.4160:mRNA-p1	1	1	1		1	1	1	1	1	1	1	3.7	3.7	3.7	35.629	321	321	4				1			0.00053419	1.8699	By MS/MS	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	3.7	0	0	0	0	0	0				1249	83	True	85	108	156	156		
Tb927.3.4260:mRNA-p1	Tb927.3.4260:mRNA-p1	8	8	8		1	8	8	8	8	8	8	33.2	33.2	33.2	41.306	368	368	4				9			0	70.558	By MS/MS	0.86593	0.87348	7.4197	5	1	Leave out requantified	0.86593	0.87348	7.4197	5	1	Leave out requantified	33.2	4122700	2203100	1919600	4122700	2203100	1919600				1250	734;1991;2984;3751;5737;7793;8569;8577	True;True;True;True;True;True;True;True	759;2084;3114;3910;6047;8183;8996;9006	999;1000;2762;4124;5211;8026;11015;12102;12113	1400;1401;3840;5744;5745;7268;7269;11062;15124;16709;16721	1400;3840;5744;7268;11062;15124;16709;16721	679	81
Tb927.3.4270:mRNA-p1	Tb927.3.4270:mRNA-p1	4	4	4		1	4	4	4	4	4	4	7.2	7.2	7.2	99.496	916	916	1	4						0	22.488	By MS/MS	1.1167	1.1193	4.9943	4	1	Leave out requantified	1.1167	1.1193	4.9943	4	1	Leave out requantified	7.2	2763000	1345900	1417200	2763000	1345900	1417200				1251	2800;3041;3208;6971	True;True;True;True	2926;3173;3356;7324	3857;4210;4451;9803	5393;5866;5867;6193;13441;13442	5393;5866;6193;13441		
Tb927.3.4380:mRNA-p1	Tb927.3.4380:mRNA-p1	6	6	6		1	6	6	6	6	6	6	14.2	14.2	14.2	53.558	479	479	3			7				0	54.217	By MS/MS	0.83186	0.83589	2.4502	6	0	Leave out requantified	0.83186	0.83589	2.4502	6	0	Leave out requantified	14.2	2169200	1163000	1006200	2169200	1163000	1006200				1252	1804;3369;6594;7181;8343;9186	True;True;True;True;True;True	1889;3520;6933;6934;7542;8754;9650	2500;4681;9252;9253;10108;11777;12954	3462;6523;12711;12712;12713;12714;13850;13851;16239;16240;17893;17894	3462;6523;12711;13850;16239;17894	680;681	66;227
Tb927.3.4390:mRNA-p1	Tb927.3.4390:mRNA-p1	3	3	3		1	3	3	3	3	3	3	6.3	6.3	6.3	55.839	505	505	3			3				0	5.4822	By MS/MS	0.82615	0.81723	25.745	2	0	Median	0.82615	0.81723	25.745	2	0	Median	6.3	226260	125200	101060	226260	125200	101060				1253	442;7882;9032	True;True;True	454;8275;9478	602;11123;12739	848;15281;15282;15283;17588	848;15282;17588	682	405
Tb927.3.4490:mRNA-p1	Tb927.3.4490:mRNA-p1	2	2	2		1	2	2	2	2	2	2	3.8	3.8	3.8	70.347	612	612	2		2					0	2.9736	By MS/MS	1.0119	0.97881	3.1312	2	0	Median	1.0119	0.97881	3.1312	2	0	Median	3.8	808550	404480	404070	808550	404480	404070				1254	1536;7005	True;True	1611;7359	2133;9848	2929;13512	2929;13512		
Tb927.3.4500:mRNA-p1;Tb11.v5.0629.1-p1	Tb927.3.4500:mRNA-p1;Tb11.v5.0629.1-p1	22;16	22;16	22;16	;	2	22	22	22	22	22	22	44.8	44.8	44.8	62.262	565	565;458	2.03	1	28		1			0	144.16	By MS/MS	1.023	0.97618	5.7181	13	1	Leave out requantified	1.023	0.97618	5.7181	13	1	Leave out requantified	44.8	31385000	15673000	15713000	31385000	15673000	15713000				1255	260;1241;1835;1951;2593;2798;3058;3486;3911;4020;4099;4919;5162;5807;7388;8062;8286;8986;9011;9089;9191;9274	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	268;1295;1920;2043;2714;2924;3193;3194;3639;4077;4194;4274;5127;5128;5374;6117;7761;8462;8696;9429;9457;9538;9655;9656;9745	364;1731;1732;2545;2706;3576;3855;4231;4232;4834;5455;5622;5732;6859;6860;6861;7184;7185;7186;8160;10424;11371;11691;12670;12671;12709;12810;12959;12960;13073	515;2388;2389;3533;3766;3767;4977;5391;5892;5893;5894;5895;6742;6743;7647;7886;8027;9481;9482;9483;9909;9910;9911;9912;11252;14307;15654;15655;16114;16115;17491;17492;17546;17547;17685;17901;17902;18062	515;2388;3533;3767;4977;5391;5893;6742;7647;7886;8027;9483;9911;11252;14307;15654;16115;17492;17546;17685;17901;18062	683;684;685;686;687	61;180;440;457;536
Tb927.3.4550:mRNA-p1	Tb927.3.4550:mRNA-p1	10	10	10		1	10	10	10	10	10	10	18.1	18.1	18.1	74.839	675	675	2		10					0	33.931	By MS/MS	0.81956	0.80717	7.6132	8	1	Leave out requantified	0.81956	0.80717	7.6132	8	1	Leave out requantified	18.1	3652800	2021500	1631300	3652800	2021500	1631300				1256	915;924;1487;1763;2999;3546;4740;5101;6589;7913	True;True;True;True;True;True;True;True;True;True	949;958;1556;1845;3129;3699;4938;5313;6928;8306	1278;1287;2038;2447;4141;4916;6618;7110;9245;11172	1794;1795;1806;1807;2812;3383;5774;5775;6850;6851;9153;9814;12701;15357;15358	1794;1807;2812;3383;5774;6850;9153;9814;12701;15358		
Tb927.3.4630:mRNA-p1	Tb927.3.4630:mRNA-p1	9	9	9		1	9	9	9	9	9	9	5.8	5.8	5.8	186.84	1675	1675	1	9						0	39.782	By MS/MS	1.5889	1.5764	10.283	9	0	Leave out requantified	1.5889	1.5764	10.283	9	0	Leave out requantified	5.8	4734200	1848600	2885600	4734200	1848600	2885600				1257	2271;2517;2531;2612;3610;4007;4767;5251;5722	True;True;True;True;True;True;True;True;True	2380;2637;2651;2733;3764;4180;4966;5469;6031	3139;3475;3492;3596;5007;5603;6657;7308;8010	4362;4363;4838;4839;4859;4860;5008;5009;6992;7860;7861;9201;10079;10080;11041	4363;4838;4859;5009;6992;7860;9201;10080;11041		
Tb927.3.4680:mRNA-p1	Tb927.3.4680:mRNA-p1	3	3	3		1	3	3	3	3	3	3	7.9	7.9	7.9	49.396	445	445	3	1			2			0	3.1934	By MS/MS	1.1667	1.1485	7.705	2	0	Median	1.1667	1.1485	7.705	2	0	Median	7.9	733070	352400	380680	733070	352400	380680				1258	3287;4569;5348	True;True;True	3437;4761;5571	4565;6390;7421	6348;8855;10227	6348;8855;10227		
Tb927.3.4780:mRNA-p1;Tb927.3.4740:mRNA-p1	Tb927.3.4780:mRNA-p1;Tb927.3.4740:mRNA-p1	1;1	1;1	1;1	;	2	1	1	1	1	1	1	2.6	2.6	2.6	45.763	424	424;424	4				1			0	3.2271	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	2.6	224620	100280	124350	224620	100280	124350				1259	5352	True	5575	7429	10235;10236	10235		
Tb927.3.4790:mRNA-p1;Tb927.3.4750:mRNA-p1	Tb927.3.4790:mRNA-p1;Tb927.3.4750:mRNA-p1	10;10	10;10	10;10	;	2	10	10	10	10	10	10	12.5	12.5	12.5	97.251	871	871;871	1	11						0	44.173	By MS/MS	1.0998	1.0343	5.2872	8	1	Leave out requantified	1.0998	1.0343	5.2872	8	1	Leave out requantified	12.5	23275000	10961000	12314000	23275000	10961000	12314000				1260	705;1897;2281;5200;5338;5402;6095;6098;8925;8933	True;True;True;True;True;True;True;True;True;True	729;1986;2391;5414;5560;5626;5627;6422;6425;9366;9374	957;2635;3156;7236;7409;7481;7482;8593;8598;12576;12584	1343;3660;3661;4381;9978;9979;10214;10215;10310;10311;11839;11840;11845;17377;17388	1343;3660;4381;9979;10214;10310;11839;11845;17377;17388	688	128
Tb927.3.4760:mRNA-p1;Tb927.3.4720:mRNA-p1	Tb927.3.4760:mRNA-p1;Tb927.3.4720:mRNA-p1	17;11	17;11	17;11	;	2	17	17	17	17	17	17	30.6	30.6	30.6	73.148	660	660;660	2		20					0	62.84	By MS/MS	1.0242	0.97532	8.6392	8	1	Leave out requantified	1.0242	0.97532	8.6392	8	1	Leave out requantified	30.6	3395600	1732500	1663100	3395600	1732500	1663100				1261	421;1005;1107;1637;2054;3282;3491;3747;4949;5094;5577;6204;6494;7098;7705;7774;8073	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	433;1044;1153;1715;2152;2153;3432;3644;3906;5158;5306;5866;6534;6831;7456;8094;8164;8473	579;1396;1545;2284;2847;2848;4559;4841;5205;6912;6913;7097;7796;8738;9116;9991;10901;10990;10991;11386	812;1945;1946;2148;3132;3957;3958;6340;6755;6756;7259;9551;9552;9797;10761;12026;12528;13700;14966;15086;15087;15088;15677	812;1946;2148;3132;3958;6340;6755;7259;9552;9797;10761;12026;12528;13700;14966;15087;15677	689;690;691;692	326;598;640;641
Tb927.3.4800:mRNA-p1	Tb927.3.4800:mRNA-p1	2	2	2		1	2	2	2	2	2	2	4	4	4	69.268	619	619	2		2					0	3.4587	By MS/MS	0.7152	0.70429	1.4534	2	0	Median	0.7152	0.70429	1.4534	2	0	Median	4	427460	240750	186710	427460	240750	186710				1262	4493;6300	True;True	4683;6633	6280;8875	8704;12202	8704;12202		
Tb927.3.4820:mRNA-p1	Tb927.3.4820:mRNA-p1	1	1	1		1	1	1	1	1	1	1	4.9	4.9	4.9	34.629	305	305	4				1			0	43.862	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	4.9	1232000	136930	1095100	1232000	136930	1095100				1263	9110	True	9568	12855	17762	17762		
Tb927.3.4840:mRNA-p1	Tb927.3.4840:mRNA-p1	5	5	5		1	5	5	5	5	5	5	8.1	8.1	8.1	81.752	731	731	1	5						0	24.299	By MS/MS	0.96744	0.96204	15.444	5	0	Leave out requantified	0.96744	0.96204	15.444	5	0	Leave out requantified	8.1	3158100	1685400	1472700	3158100	1685400	1472700				1264	205;466;3099;4080;5671	True;True;True;True;True	211;480;3243;4255;5978	289;640;4295;5708;7937	410;411;905;906;5980;5981;7991;7992;10945	410;905;5981;7991;10945		
Tb927.3.4850:mRNA-p1	Tb927.3.4850:mRNA-p1	3	3	3		1	3	3	3	3	3	3	12.4	12.4	12.4	28.605	267	267	5					3		0	3.6062	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	12.4	1282300	644080	638220	1282300	644080	638220				1265	799;3757;3806	True;True;True	824;3916;3966	1085;5221;5288	1508;7284;7396	1508;7284;7396		
Tb927.3.4880:mRNA-p1	Tb927.3.4880:mRNA-p1	1	1	1		1	1	1	1	1	1	1	5.5	5.5	5.5	20.828	182	182	6						2	0	7.7496	By MS/MS	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	1	1	Median	5.5	276690	126860	149830	276690	126860	149830				1266	1831	True	1916	2534;2535	3515;3516	3515		
Tb927.3.4950:mRNA-p1	Tb927.3.4950:mRNA-p1	1	1	1		1	1	1	1	1	1	1	2.6	2.6	2.6	55.3	499	499	3			1				0.00055096	2.0662	By MS/MS	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	2.6	0	0	0	0	0	0				1267	7334	True	7705	10350	14212	14212		
Tb927.3.4990:mRNA-p1	Tb927.3.4990:mRNA-p1	2	2	2		1	2	2	2	2	2	2	5.6	5.6	5.6	36.432	339	339	4				3			0	4.9773	By MS/MS	0.9985	0.98159	34.843	2	1	Median	0.9985	0.98159	34.843	2	1	Median	5.6	843390	455660	387730	843390	455660	387730				1268	756;8038	True;True	781;8436	1030;1031;11337	1441;1442;15605;15606	1441;15606		
Tb927.3.5010:mRNA-p1	Tb927.3.5010:mRNA-p1	1	1	1		1	1	1	1	1	1	1	6.2	6.2	6.2	23.423	193	193	6						1	0	8.3753	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	6.2	379390	210090	169290	379390	210090	169290				1269	4980	True	5191	6957	9614;9615	9614		
Tb927.3.5040:mRNA-p1	Tb927.3.5040:mRNA-p1	16	16	16		1	16	16	16	16	16	16	43.8	43.8	43.8	61.875	564	564	2.08	3	20	1			1	0	65.447	By MS/MS	1.2231	1.1927	12.644	14	1	Leave out requantified	1.2231	1.1927	12.644	14	1	Leave out requantified	43.8	30705000	13499000	17206000	30705000	13499000	17206000				1270	239;1501;1930;2868;3028;3539;3560;3707;4220;4451;4667;5027;6559;7201;7652;9275	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	247;1571;2022;2995;3158;3692;3713;3714;3865;4401;4639;4863;5238;6897;7563;8038;9746	339;2056;2057;2680;3956;4175;4907;4936;4937;4938;5140;5141;5142;5900;6218;6515;7014;9201;9202;10155;10156;10831;10832;10833;13074	480;2836;2837;2838;3728;5529;5818;5819;6833;6875;6876;6877;6878;7172;7173;7174;7175;8234;8623;9020;9694;12646;12647;13931;13932;14876;14877;14878;14879;14880;18063	480;2836;3728;5529;5818;6833;6878;7174;8234;8623;9020;9694;12647;13931;14876;18063	693;694	79;280
Tb927.3.5050:mRNA-p1	Tb927.3.5050:mRNA-p1	15	15	15		1	15	15	15	15	15	15	42	42	42	41.856	374	374	2.68	11	8	5	17			0	82.454	By MS/MS	0.93552	0.90079	9.4452	30	1	Leave out requantified	0.93552	0.90079	9.4452	30	1	Leave out requantified	42	36812000	19250000	17562000	36812000	19250000	17562000				1271	2316;2911;3465;3559;3716;3748;3934;4458;6096;6676;7304;7771;7772;8740;9165	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	2427;3040;3617;3712;3874;3907;4104;4646;6423;7016;7017;7018;7672;8161;8162;9176;9628	3200;3201;3202;3203;4044;4805;4806;4934;4935;5158;5159;5160;5161;5162;5163;5164;5206;5207;5208;5485;6229;6230;8594;8595;8596;9347;9348;9349;9350;10307;10983;10984;10985;10986;10987;10988;12338;12339;12340;12925;12926	4443;4444;4445;4446;4447;4448;4449;5639;6707;6708;6873;6874;7196;7197;7198;7199;7200;7201;7202;7203;7204;7205;7206;7207;7208;7209;7260;7261;7262;7263;7264;7684;8638;8639;11841;11842;11843;12850;12851;12852;12853;12854;12855;12856;14154;15076;15077;15078;15079;15080;15081;15082;15083;17046;17047;17048;17049;17050;17051;17856;17857	4446;5639;6707;6874;7201;7264;7684;8638;11842;12852;14154;15077;15080;17046;17857	695;696;697;698	43;137;276;281
Tb927.3.5060:mRNA-p1	Tb927.3.5060:mRNA-p1	2	2	2		1	2	2	2	2	2	2	7.2	7.2	7.2	39.126	347	347	4				2			0	5.8929	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	7.2	92731	47050	45681	92731	47050	45681				1272	1692;2603	True;True	1771;2724	2346;3587	3214;4994	3214;4994		
Tb927.3.5070:mRNA-p1	Tb927.3.5070:mRNA-p1	3	3	3		1	3	3	3	3	3	3	5.4	5.4	5.4	70.365	645	645	2		3					0	6.2165	By MS/MS	0.93106	0.91448	18.051	3	0	Leave out requantified	0.93106	0.91448	18.051	3	0	Leave out requantified	5.4	912850	468400	444450	912850	468400	444450				1273	2274;2844;4797	True;True;True	2384;2971;4996	3149;3927;6702	4373;4374;5487;5488;9259	4373;5488;9259		
Tb927.3.5090:mRNA-p1	Tb927.3.5090:mRNA-p1	2	2	2		1	2	2	2	2	2	2	11.6	11.6	11.6	22.18	198	198	6						2	0.0063788	1.3523	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	11.6	280350	104700	175650	280350	104700	175650				1274	1289;6456	True;True	1345;6791	1796;9068	2488;12467	2488;12467	699	85
Tb927.3.5130:mRNA-p1	Tb927.3.5130:mRNA-p1	1	1	1		1	1	1	1	1	1	1	3.2	3.2	3.2	44.197	378	378	4				1			0.0086873	1.2581	By MS/MS	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	3.2	0	0	0	0	0	0				1275	7873	True	8266	11114	15269	15269		
Tb927.3.5150:mRNA-p1	Tb927.3.5150:mRNA-p1	1	1	1		1	1	1	1	1	1	1	3.3	3.3	3.3	37.899	329	329	4				1			0.0015544	1.6425	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	3.3	126260	55409	70852	126260	55409	70852				1276	1194	True	1247	1668	2306	2306		
Tb927.3.5230:mRNA-p1	Tb927.3.5230:mRNA-p1	1	1	1		1	1	1	1	1	1	1	2.5	2.5	2.5	50.355	477	477	3			1				0	2.6896	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	2.5	119580	55838	63741	119580	55838	63741				1277	1761	True	1843	2445	3380	3380		
Tb927.3.5240:mRNA-p1	Tb927.3.5240:mRNA-p1	5	5	5		1	5	5	5	5	5	5	9.5	9.5	9.5	66.655	581	581	2		5					0	26.612	By MS/MS	1.0023	0.99427	10.815	5	0	Leave out requantified	1.0023	0.99427	10.815	5	0	Leave out requantified	9.5	2272900	1132900	1140000	2272900	1132900	1140000				1278	765;2852;3532;4533;5623	True;True;True;True;True	790;2979;3685;4724;5928	1043;3940;4891;6337;7876	1457;1458;5508;6813;6814;8776;8777;10860;10861	1458;5508;6813;8776;10860		
Tb927.3.5300:mRNA-p1	Tb927.3.5300:mRNA-p1	1	1	1		1	1	1	1	1	1	1	7.6	7.6	7.6	20.578	172	172	6						1	0	3.5366	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	7.6	215860	96412	119450	215860	96412	119450				1279	5	True	7	13	17	17	700	123
Tb927.3.5310:mRNA-p1	Tb927.3.5310:mRNA-p1	1	1	1		1	1	1	1	1	1	1	14	14	14	242.78	2128	2128	1	1						0.0020683	1.6239	By MS/MS	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	14	0	0	0	0	0	0				1280	196	True	202	279	398	398		
Tb927.3.5330:mRNA-p1	Tb927.3.5330:mRNA-p1	2	2	2		1	2	2	2	2	2	2	10.2	10.2	10.2	31.232	275	275	4				2			0	8.1695	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	10.2	408520	219450	189070	408520	219450	189070				1281	569;3267	True;True	586;3416	772;4539	1085;6310;6311	1085;6310		
Tb927.3.5340:mRNA-p1	Tb927.3.5340:mRNA-p1	9	9	9		1	9	9	9	9	9	9	21.4	21.4	21.4	42.028	384	384	4.25				10	1	1	0	64.034	By MS/MS	1.0169	1.0204	9.1652	9	1	Leave out requantified	1.0169	1.0204	9.1652	9	1	Leave out requantified	21.4	9393600	4943600	4450000	9393600	4943600	4450000				1282	553;588;777;1128;1338;1339;2001;4444;8862	True;True;True;True;True;True;True;True;True	570;609;802;1176;1396;1397;2096;4632;9300	755;803;1056;1580;1857;1858;2774;6207;6208;6209;6210;12489	1062;1063;1122;1473;2192;2562;2563;3858;8607;8608;8609;8610;8611;8612;17254	1063;1122;1473;2192;2562;2563;3858;8611;17254	701;702	134;241
Tb927.3.5370:mRNA-p1	Tb927.3.5370:mRNA-p1	4	4	4		1	4	4	4	4	4	4	19.2	19.2	19.2	34.254	313	313	1.89	3	4	2				0	66.16	By MS/MS	0.79136	0.78176	71.284	4	2	Median	0.79136	0.78176	71.284	4	2	Median	19.2	1539600	997920	541670	1539600	997920	541670				1283	572;925;6435;7644	True;True;True;True	589;959;6770;8030	775;776;777;1288;1289;1290;1291;9045;10822	1088;1089;1090;1808;1809;1810;1811;1812;1813;1814;12435;14862	1089;1811;12435;14862		
Tb927.3.5400:mRNA-p1	Tb927.3.5400:mRNA-p1	1	1	1		1	1	1	1	1	1	1	1.7	1.7	1.7	64.429	572	572	1	1						0.00055249	2.0737	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	1.7	80067	37334	42733	80067	37334	42733				1284	1287	True	1343	1794	2485;2486	2485		
Tb927.3.5420:mRNA-p1	Tb927.3.5420:mRNA-p1	1	1	1		1	1	1	1	1	1	1	1	1	1	100.87	903	903	1	1						0.00052938	1.7731	By MS/MS	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	1	0	0	0	0	0	0				1285	9201	True	9667	12972	17917	17917		
Tb927.3.5430:mRNA-p1	Tb927.3.5430:mRNA-p1	1	1	1		1	1	1	1	1	1	1	3	3	3	31.212	271	271	5					1		0.0025602	1.5685	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	3	264760	144350	120400	264760	144350	120400				1286	1481	True	1550	2032	2804;2805	2804		
Tb927.3.5450:mRNA-p1	Tb927.3.5450:mRNA-p1	14	14	14		1	14	14	14	14	14	14	21.7	21.7	21.7	95.977	899	899	2.71	9	6	5	14			0	118.13	By MS/MS	0.87235	0.86821	8.0942	27	2	Leave out requantified	0.87235	0.86821	8.0942	27	2	Leave out requantified	21.7	25108000	13447000	11661000	25108000	13447000	11661000				1287	145;1943;2026;2188;2654;2875;3097;4555;5613;6240;6754;7153;8508;9263	True;True;True;True;True;True;True;True;True;True;True;True;True;True	150;2035;2124;2297;2776;3002;3241;4747;5917;6572;7101;7513;8934;9733	203;204;205;2695;2696;2697;2698;2809;2810;3037;3038;3039;3665;3666;3974;3975;3976;3977;4291;4292;4293;6370;6371;7865;8788;9481;9482;10076;10077;10078;12020;13058;13059;13060	288;289;290;291;3749;3750;3751;3752;3753;3754;3755;3906;3907;3908;4219;4220;4221;4222;5120;5121;5122;5553;5554;5555;5556;5557;5558;5559;5974;5975;5976;5977;5978;8822;8823;8824;8825;10845;12092;13017;13018;13019;13020;13808;13809;13810;13811;13812;16601;16602;18041;18042;18043	290;3754;3907;4220;5122;5558;5975;8824;10845;12092;13017;13811;16601;18042	703	688
